"","Module","GO Term","GO Process","FDR","Genes"
"21","green","GO:0048522","positive regulation of cellular process","0.0151103469660489","694 (BTG1)|776 (CACNA1D)|9988 (DMTF1)|22997 (IGSF9B)|23314 (SATB2)|54602 (NDFIP2)"
"22","green","GO:0043226","organelle","0.0202139455539849","694 (BTG1)|776 (CACNA1D)|7090 (TLE3)|9988 (DMTF1)|22997 (IGSF9B)|23314 (SATB2)|54602 (NDFIP2)|79019 (CENPM)"
"23","green","GO:0005654","nucleoplasm","0.0216609018096408","694 (BTG1)|7090 (TLE3)|9988 (DMTF1)|23314 (SATB2)|79019 (CENPM)"
"24","green","GO:0048518","positive regulation of biological process","0.0235675775888171","694 (BTG1)|776 (CACNA1D)|9988 (DMTF1)|22997 (IGSF9B)|23314 (SATB2)|54602 (NDFIP2)"
"25","green","GO:0140244","regulation of translation at presynapse","0.0390210651554615","694 (BTG1)|7090 (TLE3)|9988 (DMTF1)|23314 (SATB2)"
"26","green","GO:0098700","neurotransmitter loading into synaptic vesicle","0.0407870465259338","776 (CACNA1D)"
"27","green","GO:0050794","regulation of cellular process","0.0465953075278255","694 (BTG1)|776 (CACNA1D)|7090 (TLE3)|9988 (DMTF1)|22997 (IGSF9B)|23314 (SATB2)|54602 (NDFIP2)"
"28","green","GO:0031981","nuclear lumen","0.057384356218393","694 (BTG1)|7090 (TLE3)|9988 (DMTF1)|23314 (SATB2)|79019 (CENPM)"
"29","green","GO:0050806","positive regulation of synaptic transmission","0.0635694702078632","776 (CACNA1D)|22997 (IGSF9B)"
"30","green","GO:0050789","regulation of biological process","0.0675432718774546","694 (BTG1)|776 (CACNA1D)|7090 (TLE3)|9988 (DMTF1)|22997 (IGSF9B)|23314 (SATB2)|54602 (NDFIP2)"
