"","Module","GO Term","GO Process","FDR","Genes"
"31","turquoise","GO:0008150","biological_process","3.21153431613116e-15","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|4978 (OPCML)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91869 (RFT1)|131149 (OTOL1)|144402 (CPNE8)|348980 (HCN1)|389084 (SNORC)|399979 (SNX19)"
"32","turquoise","GO:0120041","positive regulation of macrophage proliferation","3.35299977064607e-15","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|4978 (OPCML)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91869 (RFT1)|131149 (OTOL1)|144402 (CPNE8)|348980 (HCN1)|389084 (SNORC)|399979 (SNX19)"
"33","turquoise","GO:0009987","cellular process","3.35299977064607e-15","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|4978 (OPCML)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91869 (RFT1)|131149 (OTOL1)|144402 (CPNE8)|348980 (HCN1)|399979 (SNX19)"
"34","turquoise","GO:0005575","cellular_component","8.01142012942608e-15","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|4978 (OPCML)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91869 (RFT1)|131149 (OTOL1)|144402 (CPNE8)|348980 (HCN1)|389084 (SNORC)|399979 (SNX19)"
"35","turquoise","GO:0003674","molecular_function","6.19215999684399e-14","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91526 (ANKRD44)|91869 (RFT1)|131149 (OTOL1)|144402 (CPNE8)|348980 (HCN1)|399979 (SNX19)"
"36","turquoise","GO:0005488","binding","1.25672402994656e-12","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|91526 (ANKRD44)|131149 (OTOL1)|144402 (CPNE8)|348980 (HCN1)|399979 (SNX19)"
"37","turquoise","GO:0070013","intracellular organelle lumen","9.06290831778226e-10","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9293 (GPR52)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|27086 (FOXP1)|54715 (RBFOX1)|55120 (FANCL)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|91869 (RFT1)|348980 (HCN1)|399979 (SNX19)"
"38","turquoise","GO:0051179","localization","4.49206475371543e-09","473 (RERE)|488 (ATP2A2)|783 (CACNB2)|1136 (CHRNA3)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|8379 (MAD1L1)|9162 (DGKI)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|54715 (RBFOX1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|80031 (SEMA6D)|83943 (IMMP2L)|90952 (ESAM)|91869 (RFT1)|348980 (HCN1)|399979 (SNX19)"
"39","turquoise","GO:0005515","protein binding","6.73783695229549e-09","473 (RERE)|488 (ATP2A2)|767 (CA8)|783 (CACNB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9779 (TBC1D5)|22905 (EPN2)|23457 (ABCB9)|27086 (FOXP1)|54715 (RBFOX1)|55120 (FANCL)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|91526 (ANKRD44)|348980 (HCN1)|399979 (SNX19)"
"40","turquoise","GO:0005622","intracellular","6.73783695229549e-09","473 (RERE)|488 (ATP2A2)|767 (CA8)|794 (CALB2)|1806 (DPYD)|2107 (ETF1)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9070 (ASH2L)|9162 (DGKI)|9651 (PLCH2)|9779 (TBC1D5)|22905 (EPN2)|23033 (DOP1A)|23457 (ABCB9)|27086 (FOXP1)|27087 (B3GAT1)|54715 (RBFOX1)|55120 (FANCL)|55167 (MSL2)|55552 (ZNF823)|55626 (AMBRA1)|64919 (BCL11B)|65057 (ACD)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|83943 (IMMP2L)|389084 (SNORC)|399979 (SNX19)"
