"","Module","GO Term","GO Process","FDR","Genes"
"1","blue","GO:0008150","biological_process","4.31997670130338e-05","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|27012 (KCNV1)|51390 (AIG1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|91647 (ATPAF2)|131118 (DNAJC19)"
"2","blue","GO:0070013","intracellular organelle lumen","0.000179740609620783","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|27012 (KCNV1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|131118 (DNAJC19)"
"3","blue","GO:0003674","molecular_function","0.000196799128079634","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|27012 (KCNV1)|51390 (AIG1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|91647 (ATPAF2)|131118 (DNAJC19)"
"4","blue","GO:0005488","binding","0.000214950846189239","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|51390 (AIG1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|91647 (ATPAF2)|131118 (DNAJC19)"
"5","blue","GO:0050896","response to stimulus","0.000258872911632099","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)"
"6","blue","GO:0005515","protein binding","0.000479788617759364","1131 (CHRM3)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|51390 (AIG1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|91647 (ATPAF2)|131118 (DNAJC19)"
"7","blue","GO:0120041","positive regulation of macrophage proliferation","0.000576544747715325","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|27012 (KCNV1)|51390 (AIG1)|54969 (HPF1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|91647 (ATPAF2)|131118 (DNAJC19)"
"8","blue","GO:0005575","cellular_component","0.000840690937593738","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|27012 (KCNV1)|51390 (AIG1)|54969 (HPF1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|91647 (ATPAF2)|131118 (DNAJC19)"
"9","blue","GO:0009987","cellular process","0.00121407957477152","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|2016 (EMX1)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|27012 (KCNV1)|51390 (AIG1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57502 (NLGN4X)|57521 (RPTOR)|91647 (ATPAF2)|131118 (DNAJC19)"
"10","blue","GO:0051716","cellular response to stimulus","0.00138216990078","1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|6660 (SOX5)|9628 (RGS6)|23019 (CNOT1)|23362 (PSD3)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57502 (NLGN4X)|57521 (RPTOR)"
