"","Module","GO Term","GO Process","FDR","Genes"
"11","brown","GO:0005622","intracellular","1.14675391404442e-05","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4325 (MMP16)|4665 (NAB2)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|57412 (AS3MT)|91752 (ZNF804A)|254102 (EHBP1L1)|643376 (BTBD18)"
"12","brown","GO:0070013","intracellular organelle lumen","1.84617386399923e-05","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4325 (MMP16)|4665 (NAB2)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|91752 (ZNF804A)|152330 (CNTN4)|643376 (BTBD18)"
"13","brown","GO:0008150","biological_process","1.96245953349553e-05","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4325 (MMP16)|4665 (NAB2)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|57412 (AS3MT)|91752 (ZNF804A)|152330 (CNTN4)|254102 (EHBP1L1)|643376 (BTBD18)"
"14","brown","GO:0120041","positive regulation of macrophage proliferation","2.9128644777068e-05","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4325 (MMP16)|4665 (NAB2)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|57412 (AS3MT)|91752 (ZNF804A)|152330 (CNTN4)|254102 (EHBP1L1)|643376 (BTBD18)"
"15","brown","GO:0005737","cytoplasm","4.46571412224118e-05","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4325 (MMP16)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|57412 (AS3MT)|91752 (ZNF804A)|254102 (EHBP1L1)"
"16","brown","GO:0005575","cellular_component","4.46571412224118e-05","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4325 (MMP16)|4665 (NAB2)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|57412 (AS3MT)|91752 (ZNF804A)|152330 (CNTN4)|254102 (EHBP1L1)|643376 (BTBD18)"
"17","brown","GO:0050789","regulation of biological process","0.000103751621413155","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4665 (NAB2)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|91752 (ZNF804A)|152330 (CNTN4)|643376 (BTBD18)"
"18","brown","GO:0009987","cellular process","0.00012774137119209","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4325 (MMP16)|4665 (NAB2)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|57412 (AS3MT)|91752 (ZNF804A)|152330 (CNTN4)|643376 (BTBD18)"
"19","brown","GO:0003674","molecular_function","0.000133392830704135","226 (ALDOA)|665 (BNIP3L)|775 (CACNA1C)|1813 (DRD2)|2272 (FHIT)|4325 (MMP16)|4665 (NAB2)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|9892 (SNAP91)|22999 (RIMS1)|23228 (PLCL2)|57412 (AS3MT)|91752 (ZNF804A)|152330 (CNTN4)|254102 (EHBP1L1)"
"20","brown","GO:0097090","presynaptic membrane organization","0.000306569802776479","775 (CACNA1C)|1813 (DRD2)|9568 (GABBR2)|9892 (SNAP91)|22999 (RIMS1)"
