"","Module","GO Term","GO Process","FDR","Genes"
"11","brown","GO:0050794","regulation of cellular process","0.0118167802502323","694 (BTG1)|1687 (GSDME)|9293 (GPR52)|9988 (DMTF1)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)|23362 (PSD3)"
"12","brown","GO:0050789","regulation of biological process","0.0180759980184718","694 (BTG1)|1687 (GSDME)|9293 (GPR52)|9988 (DMTF1)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)|23362 (PSD3)"
"13","brown","GO:0070013","intracellular organelle lumen","0.0222708515692474","694 (BTG1)|1687 (GSDME)|9293 (GPR52)|9988 (DMTF1)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)|23362 (PSD3)"
"14","brown","GO:0048522","positive regulation of cellular process","0.0294783692917509","694 (BTG1)|1687 (GSDME)|9988 (DMTF1)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)"
"15","brown","GO:0050896","response to stimulus","0.034719704877698","694 (BTG1)|1687 (GSDME)|9293 (GPR52)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)|23362 (PSD3)"
"16","brown","GO:0048518","positive regulation of biological process","0.0430097269433048","694 (BTG1)|1687 (GSDME)|9988 (DMTF1)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)"
"17","brown","GO:0051716","cellular response to stimulus","0.0869474992581763","1687 (GSDME)|9293 (GPR52)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)|23362 (PSD3)"
"18","brown","GO:0042221","response to chemical","0.103426367897373","694 (BTG1)|1687 (GSDME)|9293 (GPR52)|23019 (CNOT1)|23314 (SATB2)"
"19","brown","GO:0009987","cellular process","0.106675957666333","694 (BTG1)|1687 (GSDME)|9293 (GPR52)|9988 (DMTF1)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)|23362 (PSD3)"
"20","brown","GO:0003674","molecular_function","0.107191543247227","694 (BTG1)|1687 (GSDME)|9293 (GPR52)|9988 (DMTF1)|22997 (IGSF9B)|23019 (CNOT1)|23314 (SATB2)|23362 (PSD3)"
