"","Module","GO Term","GO Process","FDR","Genes"
"21","green","GO:0008104","protein localization","0.0300217270952342","776 (CACNA1D)|2903 (GRIN2A)|23033 (DOP1A)|55024 (BANK1)|65057 (ACD)"
"22","green","GO:0033036","macromolecule localization","0.0443261115519553","776 (CACNA1D)|2903 (GRIN2A)|23033 (DOP1A)|55024 (BANK1)|65057 (ACD)"
"23","green","GO:0000228","nuclear chromosome","0.0563216792607649","9070 (ASH2L)|65057 (ACD)|79913 (ACTR5)"
"24","green","GO:0060380","regulation of single-stranded telomeric DNA binding","0.0708188329124036","65057 (ACD)"
"25","green","GO:0060381","positive regulation of single-stranded telomeric DNA binding","0.0708188329124036","65057 (ACD)"
"26","green","GO:0098700","neurotransmitter loading into synaptic vesicle","0.0708188329124036","776 (CACNA1D)"
"27","green","GO:1990416","cellular response to brain-derived neurotrophic factor stimulus","0.0708188329124036","9070 (ASH2L)"
"28","green","GO:0008150","biological_process","0.0717596029128044","776 (CACNA1D)|2903 (GRIN2A)|9070 (ASH2L)|23033 (DOP1A)|55024 (BANK1)|57188 (ADAMTSL3)|65057 (ACD)|79913 (ACTR5)|389084 (SNORC)"
"29","green","GO:0005262","calcium channel activity","0.0735081214686173","776 (CACNA1D)|2903 (GRIN2A)"
"30","green","GO:0015085","calcium ion transmembrane transporter activity","0.0869474992581763","776 (CACNA1D)|2903 (GRIN2A)"
