"","Module","GO Term","GO Process","FDR","Genes"
"31","greenyellow","GO:0008150","biological_process","1.0760757299608e-08","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|4482 (MSRA)|8452 (CUL3)|9628 (RGS6)|9651 (PLCH2)|9682 (KDM4A)|9779 (TBC1D5)|27086 (FOXP1)|51390 (AIG1)|54602 (NDFIP2)|54832 (VPS13C)|54969 (HPF1)|55120 (FANCL)|55167 (MSL2)|57186 (RALGAPA2)|57502 (NLGN4X)|64478 (CSMD1)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
"32","greenyellow","GO:0120041","positive regulation of macrophage proliferation","1.09337040012343e-08","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|4482 (MSRA)|8452 (CUL3)|9628 (RGS6)|9651 (PLCH2)|9682 (KDM4A)|9779 (TBC1D5)|27086 (FOXP1)|51390 (AIG1)|54602 (NDFIP2)|54832 (VPS13C)|54969 (HPF1)|55120 (FANCL)|55167 (MSL2)|57186 (RALGAPA2)|57502 (NLGN4X)|64478 (CSMD1)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
"33","greenyellow","GO:0005575","cellular_component","1.53883209671168e-08","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|4482 (MSRA)|8452 (CUL3)|9628 (RGS6)|9651 (PLCH2)|9682 (KDM4A)|9779 (TBC1D5)|27086 (FOXP1)|51390 (AIG1)|54602 (NDFIP2)|54832 (VPS13C)|54969 (HPF1)|55120 (FANCL)|55167 (MSL2)|57186 (RALGAPA2)|57502 (NLGN4X)|64478 (CSMD1)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
"34","greenyellow","GO:0009987","cellular process","1.53883209671168e-08","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|4482 (MSRA)|8452 (CUL3)|9628 (RGS6)|9651 (PLCH2)|9682 (KDM4A)|9779 (TBC1D5)|27086 (FOXP1)|51390 (AIG1)|54602 (NDFIP2)|54832 (VPS13C)|54969 (HPF1)|55120 (FANCL)|55167 (MSL2)|57186 (RALGAPA2)|57502 (NLGN4X)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
"35","greenyellow","GO:0050896","response to stimulus","1.53883209671168e-08","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|4482 (MSRA)|8452 (CUL3)|9628 (RGS6)|9651 (PLCH2)|9779 (TBC1D5)|27086 (FOXP1)|54602 (NDFIP2)|54832 (VPS13C)|54969 (HPF1)|55120 (FANCL)|57186 (RALGAPA2)|57502 (NLGN4X)|64478 (CSMD1)|64919 (BCL11B)|133418 (EMB)|152330 (CNTN4)"
"36","greenyellow","GO:0070013","intracellular organelle lumen","4.27432549574925e-08","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|8452 (CUL3)|9628 (RGS6)|9651 (PLCH2)|9682 (KDM4A)|9779 (TBC1D5)|27086 (FOXP1)|54602 (NDFIP2)|54832 (VPS13C)|54969 (HPF1)|55120 (FANCL)|57186 (RALGAPA2)|57502 (NLGN4X)|64478 (CSMD1)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|152330 (CNTN4)"
"37","greenyellow","GO:0005488","binding","1.18452382313262e-07","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|8452 (CUL3)|9628 (RGS6)|9651 (PLCH2)|9682 (KDM4A)|9779 (TBC1D5)|27086 (FOXP1)|51390 (AIG1)|54602 (NDFIP2)|54969 (HPF1)|55120 (FANCL)|55167 (MSL2)|57186 (RALGAPA2)|57502 (NLGN4X)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
"38","greenyellow","GO:0003674","molecular_function","1.91793437577238e-07","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|4482 (MSRA)|8452 (CUL3)|9628 (RGS6)|9651 (PLCH2)|9682 (KDM4A)|9779 (TBC1D5)|27086 (FOXP1)|51390 (AIG1)|54602 (NDFIP2)|54969 (HPF1)|55120 (FANCL)|55167 (MSL2)|57186 (RALGAPA2)|57502 (NLGN4X)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
"39","greenyellow","GO:0005515","protein binding","7.17780308619504e-07","226 (ALDOA)|488 (ATP2A2)|1131 (CHRM3)|2016 (EMX1)|2072 (ERCC4)|8452 (CUL3)|9628 (RGS6)|9682 (KDM4A)|9779 (TBC1D5)|27086 (FOXP1)|51390 (AIG1)|54602 (NDFIP2)|54969 (HPF1)|55120 (FANCL)|57186 (RALGAPA2)|57502 (NLGN4X)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
"40","greenyellow","GO:0016043","cellular component organization","2.59975067093227e-06","226 (ALDOA)|488 (ATP2A2)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|8452 (CUL3)|9682 (KDM4A)|9779 (TBC1D5)|54832 (VPS13C)|55167 (MSL2)|57502 (NLGN4X)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
"41","greenyellow","GO:0071870","cellular response to catecholamine stimulus","3.84927442649495e-06","226 (ALDOA)|488 (ATP2A2)|1135 (CHRNA2)|2016 (EMX1)|2072 (ERCC4)|8452 (CUL3)|9682 (KDM4A)|9779 (TBC1D5)|54832 (VPS13C)|55167 (MSL2)|57502 (NLGN4X)|64919 (BCL11B)|79568 (MAIP1)|81611 (ANP32E)|131118 (DNAJC19)|133418 (EMB)|152330 (CNTN4)"
