"","Module","GO Term","GO Process","FDR","Genes"
"42","pink","GO:1902913","positive regulation of neuroepithelial cell differentiation","0.0574082848804341","9839 (ZEB2)"
"43","pink","GO:0061351","neural precursor cell proliferation","0.0603009442686796","6660 (SOX5)|9839 (ZEB2)"
"44","pink","GO:0050794","regulation of cellular process","0.0869474992581763","2272 (FHIT)|6660 (SOX5)|7840 (ALMS1)|9568 (GABBR2)|9839 (ZEB2)|643376 (BTBD18)"
"45","pink","GO:0021767","mammillary body development","0.0869474992581763","9839 (ZEB2)"
"46","pink","GO:0047710","bis(5'-adenosyl)-triphosphatase activity","0.0869474992581763","2272 (FHIT)"
"47","pink","GO:0061373","mammillary axonal complex development","0.0869474992581763","9839 (ZEB2)"
"48","pink","GO:0097346","INO80-type complex","0.0869474992581763","9839 (ZEB2)"
"49","pink","GO:1903202","negative regulation of oxidative stress-induced cell death","0.0869474992581763","9839 (ZEB2)"
"50","pink","GO:0045944","positive regulation of transcription by RNA polymerase II","0.0924038265014563","6660 (SOX5)|9839 (ZEB2)|643376 (BTBD18)"
"51","pink","GO:0004965","G protein-coupled GABA receptor activity","0.108628601890577","9568 (GABBR2)"
