"","Module","GO Term","GO Process","FDR","Genes"
"52","red","GO:0043167","ion binding","0.00115074529235934","1813 (DRD2)|4325 (MMP16)|5142 (PDE4B)|22999 (RIMS1)|23228 (PLCL2)|27087 (B3GAT1)|91752 (ZNF804A)|131149 (OTOL1)"
"53","red","GO:0043169","cation binding","0.00177527402903559","1813 (DRD2)|4325 (MMP16)|5142 (PDE4B)|22999 (RIMS1)|27087 (B3GAT1)|91752 (ZNF804A)|131149 (OTOL1)"
"54","red","GO:0098808","mRNA cap binding","0.00177691425641917","1813 (DRD2)|5142 (PDE4B)|22999 (RIMS1)|91752 (ZNF804A)"
"55","red","GO:0043197","dendritic spine","0.00382753772482208","1813 (DRD2)|5142 (PDE4B)|91752 (ZNF804A)"
"56","red","GO:0044309","neuron spine","0.00392035096585526","1813 (DRD2)|5142 (PDE4B)|91752 (ZNF804A)"
"57","red","GO:0030054","cell junction","0.00810694454340561","1813 (DRD2)|5142 (PDE4B)|22999 (RIMS1)|90952 (ESAM)|91752 (ZNF804A)"
"58","red","GO:0032228","regulation of synaptic transmission, GABAergic","0.0136655305791365","1813 (DRD2)|23228 (PLCL2)"
"59","red","GO:1901580","regulation of telomeric RNA transcription from RNA pol II promoter","0.01560216609183","1813 (DRD2)|5142 (PDE4B)"
"60","red","GO:0046872","metal ion binding","0.0178294120283406","4325 (MMP16)|5142 (PDE4B)|22999 (RIMS1)|27087 (B3GAT1)|91752 (ZNF804A)|131149 (OTOL1)"
"61","red","GO:0051932","synaptic transmission, GABAergic","0.021510617418697","1813 (DRD2)|23228 (PLCL2)"
