"","Module","GO Term","GO Process","FDR","Genes"
"1","black","GO:0008150","biological_process","1.18452382313262e-07","473 (RERE)|665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|4978 (OPCML)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9472 (AKAP6)|23457 (ABCB9)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|79019 (CENPM)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"2","black","GO:0120041","positive regulation of macrophage proliferation","1.83253948433595e-07","473 (RERE)|665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|4978 (OPCML)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9472 (AKAP6)|23457 (ABCB9)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|79019 (CENPM)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"3","black","GO:0009987","cellular process","2.74118550480703e-07","473 (RERE)|665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|4978 (OPCML)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9472 (AKAP6)|23457 (ABCB9)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|79019 (CENPM)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|144402 (CPNE8)|399979 (SNX19)"
"4","black","GO:0003674","molecular_function","2.74118550480703e-07","473 (RERE)|665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9472 (AKAP6)|23457 (ABCB9)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|91526 (ANKRD44)|91869 (RFT1)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"5","black","GO:0005575","cellular_component","2.74118550480703e-07","473 (RERE)|665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|4978 (OPCML)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9472 (AKAP6)|23457 (ABCB9)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|79019 (CENPM)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"6","black","GO:0016043","cellular component organization","1.09882252031432e-06","473 (RERE)|665 (BNIP3L)|783 (CACNB2)|1136 (CHRNA3)|2107 (ETF1)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|9472 (AKAP6)|27012 (KCNV1)|55626 (AMBRA1)|79019 (CENPM)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|399979 (SNX19)"
"7","black","GO:0071870","cellular response to catecholamine stimulus","1.65654546898881e-06","473 (RERE)|665 (BNIP3L)|783 (CACNB2)|1136 (CHRNA3)|2107 (ETF1)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|9472 (AKAP6)|27012 (KCNV1)|55626 (AMBRA1)|79019 (CENPM)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|399979 (SNX19)"
"8","black","GO:0070013","intracellular organelle lumen","1.96247232748257e-05","473 (RERE)|665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9472 (AKAP6)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|91869 (RFT1)|399979 (SNX19)"
"9","black","GO:0016020","membrane","5.37531966610438e-05","665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|4978 (OPCML)|5579 (PRKCB)|5796 (PTPRK)|9162 (DGKI)|9472 (AKAP6)|23457 (ABCB9)|27012 (KCNV1)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|91869 (RFT1)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"10","black","GO:0005488","binding","6.81223044857638e-05","473 (RERE)|665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1136 (CHRNA3)|1806 (DPYD)|2107 (ETF1)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|7090 (TLE3)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9472 (AKAP6)|23457 (ABCB9)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|91526 (ANKRD44)|144402 (CPNE8)|399979 (SNX19)"
