"","Module","GO Term","GO Process","FDR","Genes"
"21","green","GO:0045211","postsynaptic membrane","0.176919407477099","775 (CACNA1C)|22997 (IGSF9B)"
"22","green","GO:0014069","postsynaptic density","0.176919407477099","775 (CACNA1C)|22997 (IGSF9B)"
"23","green","GO:0032279","asymmetric synapse","0.176919407477099","775 (CACNA1C)|22997 (IGSF9B)"
"24","green","GO:0099601","regulation of neurotransmitter receptor activity","0.183280262395323","775 (CACNA1C)|22997 (IGSF9B)"
"25","green","GO:0099013","neuronal dense core vesicle lumen","0.183280262395323","775 (CACNA1C)|22997 (IGSF9B)"
"26","green","GO:0086070","SA node cell to atrial cardiac muscle cell communication","0.205817711700097","775 (CACNA1C)"
"27","green","GO:0098927","vesicle-mediated transport between endosomal compartments","0.205817711700097","775 (CACNA1C)"
"28","green","GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane","0.205817711700097","22997 (IGSF9B)"
"29","green","GO:0097090","presynaptic membrane organization","0.206677455468904","775 (CACNA1C)|22997 (IGSF9B)"
"30","green","GO:0042391","regulation of membrane potential","0.207012966449398","775 (CACNA1C)|22997 (IGSF9B)"
