"","Module","GO Term","GO Process","FDR","Genes"
"31","magenta","GO:0072511","divalent inorganic cation transport","0.252996030096608","55167 (MSL2)"
"32","magenta","GO:0010606","positive regulation of cytoplasmic mRNA processing body assembly","0.271259979053774","23019 (CNOT1)"
"33","magenta","GO:0030015","CCR4-NOT core complex","0.271259979053774","23019 (CNOT1)"
"34","magenta","GO:0048387","negative regulation of retinoic acid receptor signaling pathway","0.307500884979113","23019 (CNOT1)"
"35","magenta","GO:0010603","regulation of cytoplasmic mRNA processing body assembly","0.327522326576955","23019 (CNOT1)"
"36","magenta","GO:0070053","thrombospondin receptor activity","0.327522326576955","23019 (CNOT1)"
"37","magenta","GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","0.356657204495245","23019 (CNOT1)"
"38","magenta","GO:0004535","poly(A)-specific ribonuclease activity","0.360248001557937","23019 (CNOT1)"
"39","magenta","GO:0033147","negative regulation of intracellular estrogen receptor signaling pathway","0.360248001557937","23019 (CNOT1)"
"40","magenta","GO:0060211","regulation of nuclear-transcribed mRNA poly(A) tail shortening","0.367148798231065","23019 (CNOT1)"
