"","Module","GO Term","GO Process","FDR","Genes"
"51","red","GO:0046632","alpha-beta T cell differentiation","0.151629165708034","27086 (FOXP1)|64919 (BCL11B)"
"52","red","GO:0048523","negative regulation of cellular process","0.166882831170771","9628 (RGS6)|9651 (PLCH2)|27086 (FOXP1)|54832 (VPS13C)|64919 (BCL11B)"
"53","red","GO:0046631","alpha-beta T cell activation","0.18580765639596","27086 (FOXP1)|64919 (BCL11B)"
"54","red","GO:0032625","interleukin-21 production","0.18580765639596","27086 (FOXP1)"
"55","red","GO:0071697","ectodermal placode morphogenesis","0.18580765639596","64919 (BCL11B)"
"56","red","GO:0072666","establishment of protein localization to vacuole","0.18580765639596","27086 (FOXP1)"
"57","red","GO:1905219","regulation of platelet formation","0.18580765639596","54832 (VPS13C)"
"58","red","GO:1905221","positive regulation of platelet formation","0.18580765639596","54832 (VPS13C)"
"59","red","GO:0048519","negative regulation of biological process","0.205817711700097","9628 (RGS6)|9651 (PLCH2)|27086 (FOXP1)|54832 (VPS13C)|64919 (BCL11B)"
"60","red","GO:0097553","calcium ion transmembrane import into cytosol","0.231811992252273","64919 (BCL11B)"
