"","Module","GO Term","GO Process","FDR","Genes"
"61","turquoise","GO:0008150","biological_process","0.00457422842480481","665 (BNIP3L)|783 (CACNB2)|794 (CALB2)|2107 (ETF1)|4978 (OPCML)|6925 (TCF4)|8379 (MAD1L1)|9162 (DGKI)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"62","turquoise","GO:0120041","positive regulation of macrophage proliferation","0.00457422842480481","665 (BNIP3L)|783 (CACNB2)|794 (CALB2)|2107 (ETF1)|4978 (OPCML)|6925 (TCF4)|8379 (MAD1L1)|9162 (DGKI)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"63","turquoise","GO:0005575","cellular_component","0.00499924556219465","665 (BNIP3L)|783 (CACNB2)|794 (CALB2)|2107 (ETF1)|4978 (OPCML)|6925 (TCF4)|8379 (MAD1L1)|9162 (DGKI)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"64","turquoise","GO:0016020","membrane","0.0101199205769837","665 (BNIP3L)|783 (CACNB2)|794 (CALB2)|4978 (OPCML)|9162 (DGKI)|27012 (KCNV1)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"65","turquoise","GO:0009987","cellular process","0.0101199205769837","665 (BNIP3L)|783 (CACNB2)|794 (CALB2)|2107 (ETF1)|4978 (OPCML)|6925 (TCF4)|8379 (MAD1L1)|9162 (DGKI)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|144402 (CPNE8)|399979 (SNX19)"
"66","turquoise","GO:0003674","molecular_function","0.0101199205769837","665 (BNIP3L)|783 (CACNB2)|794 (CALB2)|2107 (ETF1)|6925 (TCF4)|8379 (MAD1L1)|9162 (DGKI)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|144402 (CPNE8)|254102 (EHBP1L1)|399979 (SNX19)"
"67","turquoise","GO:0016043","cellular component organization","0.0154806216250068","665 (BNIP3L)|783 (CACNB2)|2107 (ETF1)|6925 (TCF4)|8379 (MAD1L1)|27012 (KCNV1)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|399979 (SNX19)"
"68","turquoise","GO:0071870","cellular response to catecholamine stimulus","0.0173036686044563","665 (BNIP3L)|783 (CACNB2)|2107 (ETF1)|6925 (TCF4)|8379 (MAD1L1)|27012 (KCNV1)|55626 (AMBRA1)|80031 (SEMA6D)|83943 (IMMP2L)|399979 (SNX19)"
"69","turquoise","GO:0099524","postsynaptic cytosol","0.0599026116686852","783 (CACNB2)|794 (CALB2)"
"70","turquoise","GO:0070013","intracellular organelle lumen","0.077135026684971","665 (BNIP3L)|783 (CACNB2)|794 (CALB2)|2107 (ETF1)|6925 (TCF4)|8379 (MAD1L1)|9162 (DGKI)|27012 (KCNV1)|55552 (ZNF823)|55626 (AMBRA1)|80031 (SEMA6D)|399979 (SNX19)"
