"","Module","GO Term","GO Process","FDR","Genes"
"71","yellow","GO:0005515","protein binding","0.0217651028033757","1136 (CHRNA3)|1806 (DPYD)|5142 (PDE4B)|5796 (PTPRK)|9682 (KDM4A)|23457 (ABCB9)|54715 (RBFOX1)|65057 (ACD)|91647 (ATPAF2)"
"72","yellow","GO:0005488","binding","0.105168226319283","1136 (CHRNA3)|1806 (DPYD)|5142 (PDE4B)|5796 (PTPRK)|9682 (KDM4A)|23457 (ABCB9)|54715 (RBFOX1)|65057 (ACD)|91647 (ATPAF2)"
"73","yellow","GO:0072538","T-helper 17 type immune response","0.105736235043096","1806 (DPYD)|5142 (PDE4B)"
"74","yellow","GO:0009987","cellular process","0.18580765639596","1136 (CHRNA3)|1806 (DPYD)|5142 (PDE4B)|5796 (PTPRK)|9682 (KDM4A)|23457 (ABCB9)|54715 (RBFOX1)|65057 (ACD)|91647 (ATPAF2)"
"75","yellow","GO:0030425","dendrite","0.18580765639596","1136 (CHRNA3)|5142 (PDE4B)|5796 (PTPRK)"
"76","yellow","GO:0097473","retinal rod cell apoptotic process","0.18580765639596","1136 (CHRNA3)|5142 (PDE4B)|5796 (PTPRK)"
"77","yellow","GO:0003674","molecular_function","0.18580765639596","1136 (CHRNA3)|1806 (DPYD)|5142 (PDE4B)|5796 (PTPRK)|9682 (KDM4A)|23457 (ABCB9)|54715 (RBFOX1)|65057 (ACD)|91647 (ATPAF2)"
"78","yellow","GO:0006139","nucleobase-containing compound metabolic process","0.210497206550643","1806 (DPYD)|5142 (PDE4B)|5796 (PTPRK)|9682 (KDM4A)|54715 (RBFOX1)|65057 (ACD)"
"79","yellow","GO:0006214","thymidine catabolic process","0.212351607308888","1806 (DPYD)"
"80","yellow","GO:0017113","dihydropyrimidine dehydrogenase (NADP+) activity","0.212351607308888","1806 (DPYD)"
