"","Module","GO Term","GO Process","FDR","Genes"
"1","blue","GO:0008150","biological_process","0.0041415468006547","488 (ATP2A2)|767 (CA8)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|9070 (ASH2L)|23033 (DOP1A)|51390 (AIG1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|131118 (DNAJC19)|348980 (HCN1)"
"2","blue","GO:0050896","response to stimulus","0.00457422842480481","488 (ATP2A2)|767 (CA8)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|9070 (ASH2L)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|348980 (HCN1)"
"3","blue","GO:0051716","cellular response to stimulus","0.00457422842480481","488 (ATP2A2)|767 (CA8)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|9070 (ASH2L)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57502 (NLGN4X)|57521 (RPTOR)|348980 (HCN1)"
"4","blue","GO:0005488","binding","0.00883119580379054","488 (ATP2A2)|767 (CA8)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|9070 (ASH2L)|51390 (AIG1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|131118 (DNAJC19)|348980 (HCN1)"
"5","blue","GO:0070013","intracellular organelle lumen","0.00892417352453905","488 (ATP2A2)|767 (CA8)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|9070 (ASH2L)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|131118 (DNAJC19)|348980 (HCN1)"
"6","blue","GO:0120041","positive regulation of macrophage proliferation","0.0101199205769837","488 (ATP2A2)|767 (CA8)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|9070 (ASH2L)|23033 (DOP1A)|51390 (AIG1)|54969 (HPF1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|131118 (DNAJC19)|348980 (HCN1)"
"7","blue","GO:0005575","cellular_component","0.0134331929565337","488 (ATP2A2)|767 (CA8)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|9070 (ASH2L)|23033 (DOP1A)|51390 (AIG1)|54969 (HPF1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|131118 (DNAJC19)|348980 (HCN1)"
"8","blue","GO:0016020","membrane","0.0154806216250068","488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|23033 (DOP1A)|51390 (AIG1)|57186 (RALGAPA2)|57502 (NLGN4X)|57521 (RPTOR)|64478 (CSMD1)|131118 (DNAJC19)|348980 (HCN1)"
"9","blue","GO:0005515","protein binding","0.0160710099872692","488 (ATP2A2)|767 (CA8)|1131 (CHRM3)|9070 (ASH2L)|51390 (AIG1)|54969 (HPF1)|55024 (BANK1)|57186 (RALGAPA2)|57188 (ADAMTSL3)|57502 (NLGN4X)|57521 (RPTOR)|131118 (DNAJC19)|348980 (HCN1)"
"10","blue","GO:0003008","system process","0.0169992248613312","488 (ATP2A2)|1131 (CHRM3)|1135 (CHRNA2)|1687 (GSDME)|57502 (NLGN4X)|64478 (CSMD1)|131118 (DNAJC19)"
