"","Module","GO Term","GO Process","FDR","Genes"
"11","brown","GO:0070013","intracellular organelle lumen","0.0973978575295086","2903 (GRIN2A)|8821 (INPP4B)|9568 (GABBR2)|9839 (ZEB2)|22905 (EPN2)|79913 (ACTR5)|91869 (RFT1)|643376 (BTBD18)"
"12","brown","GO:1901723","negative regulation of cell proliferation involved in kidney development","0.151629165708034","2903 (GRIN2A)|8821 (INPP4B)|9839 (ZEB2)"
"13","brown","GO:0018958","phenol-containing compound metabolic process","0.184619373302534","2903 (GRIN2A)|9839 (ZEB2)"
"14","brown","GO:0030594","neurotransmitter receptor activity","0.201219913453454","2903 (GRIN2A)|9568 (GABBR2)"
"15","brown","GO:0034203","glycolipid translocation","0.205817711700097","91869 (RFT1)"
"16","brown","GO:1902913","positive regulation of neuroepithelial cell differentiation","0.205817711700097","9839 (ZEB2)"
"17","brown","GO:0050794","regulation of cellular process","0.223269181904164","2903 (GRIN2A)|8821 (INPP4B)|9568 (GABBR2)|9839 (ZEB2)|22905 (EPN2)|79913 (ACTR5)|643376 (BTBD18)"
"18","brown","GO:0051716","cellular response to stimulus","0.231811992252273","2903 (GRIN2A)|8821 (INPP4B)|9568 (GABBR2)|9839 (ZEB2)|22905 (EPN2)|79913 (ACTR5)"
"19","brown","GO:0050789","regulation of biological process","0.245145735373308","2903 (GRIN2A)|8821 (INPP4B)|9568 (GABBR2)|9839 (ZEB2)|22905 (EPN2)|79913 (ACTR5)|643376 (BTBD18)"
"20","brown","GO:0016316","phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity","0.245145735373308","8821 (INPP4B)"
