"","Module","GO Term","GO Process","FDR","Genes"
"36","pink","GO:0005654","nucleoplasm","0.0128625933570133","694 (BTG1)|2072 (ERCC4)|9988 (DMTF1)|79019 (CENPM)"
"37","pink","GO:1905906","regulation of amyloid fibril formation","0.0183604403553392","2072 (ERCC4)"
"38","pink","GO:1905907","negative regulation of amyloid fibril formation","0.0183604403553392","2072 (ERCC4)"
"39","pink","GO:0031981","nuclear lumen","0.0297268250455391","694 (BTG1)|2072 (ERCC4)|9988 (DMTF1)|79019 (CENPM)"
"40","pink","GO:1901398","regulation of transforming growth factor beta3 activation","0.0319796159951603","2072 (ERCC4)"
"41","pink","GO:1904844","response to L-glutamine","0.0319796159951603","2072 (ERCC4)"
"42","pink","GO:0000110","nucleotide-excision repair factor 1 complex","0.0426789008425257","2072 (ERCC4)"
"43","pink","GO:0061819","telomeric DNA-containing double minutes formation","0.0426789008425257","2072 (ERCC4)"
"44","pink","GO:1905903","negative regulation of mesoderm formation","0.0426789008425257","2072 (ERCC4)"
"45","pink","GO:1905904","positive regulation of mesoderm formation","0.0426789008425257","2072 (ERCC4)"
