"","Module","GO Term","GO Process","FDR","Genes"
"46","turquoise","GO:0009987","cellular process","4.03559866643e-10","226 (ALDOA)|473 (RERE)|767 (CA8)|775 (CACNA1C)|776 (CACNA1D)|783 (CACNB2)|1131 (CHRM3)|1136 (CHRNA3)|1687 (GSDME)|1806 (DPYD)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9293 (GPR52)|9472 (AKAP6)|9651 (PLCH2)|22997 (IGSF9B)|22999 (RIMS1)|23457 (ABCB9)|54832 (VPS13C)|55120 (FANCL)|57521 (RPTOR)|65057 (ACD)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|144402 (CPNE8)|399979 (SNX19)|643376 (BTBD18)"
"47","turquoise","GO:0070013","intracellular organelle lumen","4.03559866643e-10","226 (ALDOA)|473 (RERE)|767 (CA8)|775 (CACNA1C)|776 (CACNA1D)|783 (CACNB2)|1131 (CHRM3)|1136 (CHRNA3)|1687 (GSDME)|1806 (DPYD)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9293 (GPR52)|9472 (AKAP6)|9651 (PLCH2)|22997 (IGSF9B)|22999 (RIMS1)|54832 (VPS13C)|55120 (FANCL)|57521 (RPTOR)|65057 (ACD)|81611 (ANP32E)|91752 (ZNF804A)|399979 (SNX19)|643376 (BTBD18)"
"48","turquoise","GO:0008150","biological_process","1.09121131999921e-09","226 (ALDOA)|473 (RERE)|767 (CA8)|775 (CACNA1C)|776 (CACNA1D)|783 (CACNB2)|1131 (CHRM3)|1136 (CHRNA3)|1687 (GSDME)|1806 (DPYD)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9293 (GPR52)|9472 (AKAP6)|9651 (PLCH2)|22997 (IGSF9B)|22999 (RIMS1)|23457 (ABCB9)|54832 (VPS13C)|55120 (FANCL)|57521 (RPTOR)|65057 (ACD)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|144402 (CPNE8)|399979 (SNX19)|643376 (BTBD18)"
"49","turquoise","GO:0120041","positive regulation of macrophage proliferation","1.77686516602937e-09","226 (ALDOA)|473 (RERE)|767 (CA8)|775 (CACNA1C)|776 (CACNA1D)|783 (CACNB2)|1131 (CHRM3)|1136 (CHRNA3)|1687 (GSDME)|1806 (DPYD)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9293 (GPR52)|9472 (AKAP6)|9651 (PLCH2)|22997 (IGSF9B)|22999 (RIMS1)|23457 (ABCB9)|54832 (VPS13C)|55120 (FANCL)|57521 (RPTOR)|65057 (ACD)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|144402 (CPNE8)|399979 (SNX19)|643376 (BTBD18)"
"50","turquoise","GO:0005575","cellular_component","3.39223691571795e-09","226 (ALDOA)|473 (RERE)|767 (CA8)|775 (CACNA1C)|776 (CACNA1D)|783 (CACNB2)|1131 (CHRM3)|1136 (CHRNA3)|1687 (GSDME)|1806 (DPYD)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9293 (GPR52)|9472 (AKAP6)|9651 (PLCH2)|22997 (IGSF9B)|22999 (RIMS1)|23457 (ABCB9)|54832 (VPS13C)|55120 (FANCL)|57521 (RPTOR)|65057 (ACD)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|144402 (CPNE8)|399979 (SNX19)|643376 (BTBD18)"
"51","turquoise","GO:0070016","armadillo repeat domain binding","4.05046548646121e-09","226 (ALDOA)|775 (CACNA1C)|776 (CACNA1D)|783 (CACNB2)|1131 (CHRM3)|1136 (CHRNA3)|1806 (DPYD)|1813 (DRD2)|5579 (PRKCB)|9472 (AKAP6)|9651 (PLCH2)|22997 (IGSF9B)|22999 (RIMS1)|54832 (VPS13C)|57521 (RPTOR)|65057 (ACD)|91752 (ZNF804A)|399979 (SNX19)"
"52","turquoise","GO:0003674","molecular_function","2.28475246892195e-08","226 (ALDOA)|473 (RERE)|767 (CA8)|775 (CACNA1C)|776 (CACNA1D)|783 (CACNB2)|1131 (CHRM3)|1136 (CHRNA3)|1687 (GSDME)|1806 (DPYD)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9293 (GPR52)|9472 (AKAP6)|9651 (PLCH2)|22997 (IGSF9B)|22999 (RIMS1)|23457 (ABCB9)|55120 (FANCL)|57521 (RPTOR)|65057 (ACD)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|144402 (CPNE8)|399979 (SNX19)"
"53","turquoise","GO:0016043","cellular component organization","2.75856076118394e-08","226 (ALDOA)|473 (RERE)|783 (CACNB2)|1136 (CHRNA3)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9472 (AKAP6)|22997 (IGSF9B)|22999 (RIMS1)|54832 (VPS13C)|57521 (RPTOR)|65057 (ACD)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|399979 (SNX19)|643376 (BTBD18)"
"54","turquoise","GO:0071870","cellular response to catecholamine stimulus","4.40356010459778e-08","226 (ALDOA)|473 (RERE)|783 (CACNB2)|1136 (CHRNA3)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9472 (AKAP6)|22997 (IGSF9B)|22999 (RIMS1)|54832 (VPS13C)|57521 (RPTOR)|65057 (ACD)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|399979 (SNX19)|643376 (BTBD18)"
"55","turquoise","GO:0050789","regulation of biological process","4.43010535381153e-08","226 (ALDOA)|473 (RERE)|767 (CA8)|775 (CACNA1C)|776 (CACNA1D)|783 (CACNB2)|1131 (CHRM3)|1136 (CHRNA3)|1687 (GSDME)|1813 (DRD2)|2107 (ETF1)|5579 (PRKCB)|6925 (TCF4)|9070 (ASH2L)|9293 (GPR52)|9472 (AKAP6)|9651 (PLCH2)|22997 (IGSF9B)|22999 (RIMS1)|54832 (VPS13C)|55120 (FANCL)|57521 (RPTOR)|65057 (ACD)|91752 (ZNF804A)|643376 (BTBD18)"
