"","Module","GO Term","GO Process","FDR","Genes"
"1","black","GO:0003674","molecular_function","0.000353113149097002","488 (ATP2A2)|4665 (NAB2)|6314 (ATXN7)|8821 (INPP4B)|9779 (TBC1D5)|9892 (SNAP91)|27012 (KCNV1)|54969 (HPF1)|55024 (BANK1)|57188 (ADAMTSL3)|57412 (AS3MT)|91526 (ANKRD44)|91869 (RFT1)|131118 (DNAJC19)|152330 (CNTN4)"
"2","black","GO:0008150","biological_process","0.000627140780031912","488 (ATP2A2)|4665 (NAB2)|6314 (ATXN7)|8821 (INPP4B)|9779 (TBC1D5)|9892 (SNAP91)|27012 (KCNV1)|54969 (HPF1)|55024 (BANK1)|57188 (ADAMTSL3)|57412 (AS3MT)|64478 (CSMD1)|91869 (RFT1)|131118 (DNAJC19)|152330 (CNTN4)"
"3","black","GO:0005515","protein binding","0.00237789633395256","488 (ATP2A2)|4665 (NAB2)|6314 (ATXN7)|8821 (INPP4B)|9779 (TBC1D5)|9892 (SNAP91)|54969 (HPF1)|55024 (BANK1)|57188 (ADAMTSL3)|91526 (ANKRD44)|131118 (DNAJC19)|152330 (CNTN4)"
"4","black","GO:0070013","intracellular organelle lumen","0.0047132086836138","488 (ATP2A2)|4665 (NAB2)|8821 (INPP4B)|9779 (TBC1D5)|9892 (SNAP91)|27012 (KCNV1)|54969 (HPF1)|55024 (BANK1)|64478 (CSMD1)|91869 (RFT1)|131118 (DNAJC19)|152330 (CNTN4)"
"5","black","GO:0120041","positive regulation of macrophage proliferation","0.00629680428466076","488 (ATP2A2)|4665 (NAB2)|6314 (ATXN7)|8821 (INPP4B)|9779 (TBC1D5)|9892 (SNAP91)|27012 (KCNV1)|54969 (HPF1)|57188 (ADAMTSL3)|57412 (AS3MT)|64478 (CSMD1)|91869 (RFT1)|131118 (DNAJC19)|152330 (CNTN4)"
"6","black","GO:0005575","cellular_component","0.00853698559196173","488 (ATP2A2)|4665 (NAB2)|6314 (ATXN7)|8821 (INPP4B)|9779 (TBC1D5)|9892 (SNAP91)|27012 (KCNV1)|54969 (HPF1)|57188 (ADAMTSL3)|57412 (AS3MT)|64478 (CSMD1)|91869 (RFT1)|131118 (DNAJC19)|152330 (CNTN4)"
"7","black","GO:0009987","cellular process","0.0154861263524883","488 (ATP2A2)|4665 (NAB2)|6314 (ATXN7)|8821 (INPP4B)|9779 (TBC1D5)|9892 (SNAP91)|27012 (KCNV1)|54969 (HPF1)|55024 (BANK1)|57412 (AS3MT)|91869 (RFT1)|131118 (DNAJC19)|152330 (CNTN4)"
"8","black","GO:0005488","binding","0.0216045484643407","488 (ATP2A2)|4665 (NAB2)|6314 (ATXN7)|8821 (INPP4B)|9779 (TBC1D5)|9892 (SNAP91)|54969 (HPF1)|55024 (BANK1)|57188 (ADAMTSL3)|91526 (ANKRD44)|131118 (DNAJC19)|152330 (CNTN4)"
"9","black","GO:0051049","regulation of transport","0.0255755099846441","488 (ATP2A2)|9779 (TBC1D5)|9892 (SNAP91)|27012 (KCNV1)|55024 (BANK1)"
"10","black","GO:0016043","cellular component organization","0.0292817201810702","488 (ATP2A2)|6314 (ATXN7)|9779 (TBC1D5)|9892 (SNAP91)|27012 (KCNV1)|91869 (RFT1)|131118 (DNAJC19)|152330 (CNTN4)"
