"","Module","GO Term","GO Process","FDR","Genes"
"11","blue","GO:0008150","biological_process","4.05046548646121e-09","1135 (CHRNA2)|2272 (FHIT)|2903 (GRIN2A)|4325 (MMP16)|4482 (MSRA)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|7840 (ALMS1)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|27087 (B3GAT1)|54602 (NDFIP2)|64919 (BCL11B)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|133418 (EMB)|222537 (HS3ST5)|348980 (HCN1)|389084 (SNORC)"
"12","blue","GO:0120041","positive regulation of macrophage proliferation","7.01939459821063e-09","1135 (CHRNA2)|2272 (FHIT)|2903 (GRIN2A)|4325 (MMP16)|4482 (MSRA)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|7840 (ALMS1)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|27087 (B3GAT1)|54602 (NDFIP2)|64919 (BCL11B)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|133418 (EMB)|222537 (HS3ST5)|348980 (HCN1)|389084 (SNORC)"
"13","blue","GO:0005575","cellular_component","1.34366900680904e-08","1135 (CHRNA2)|2272 (FHIT)|2903 (GRIN2A)|4325 (MMP16)|4482 (MSRA)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|7840 (ALMS1)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|27087 (B3GAT1)|54602 (NDFIP2)|64919 (BCL11B)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|133418 (EMB)|222537 (HS3ST5)|348980 (HCN1)|389084 (SNORC)"
"14","blue","GO:0005488","binding","1.43278718829624e-08","1135 (CHRNA2)|2272 (FHIT)|2903 (GRIN2A)|4325 (MMP16)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|7840 (ALMS1)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|27087 (B3GAT1)|54602 (NDFIP2)|64919 (BCL11B)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|133418 (EMB)|222537 (HS3ST5)|348980 (HCN1)"
"15","blue","GO:0009987","cellular process","1.87965509558862e-08","1135 (CHRNA2)|2272 (FHIT)|2903 (GRIN2A)|4325 (MMP16)|4482 (MSRA)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|7840 (ALMS1)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|27087 (B3GAT1)|54602 (NDFIP2)|64919 (BCL11B)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|133418 (EMB)|222537 (HS3ST5)|348980 (HCN1)"
"16","blue","GO:0003674","molecular_function","1.90981822794201e-08","1135 (CHRNA2)|2272 (FHIT)|2903 (GRIN2A)|4325 (MMP16)|4482 (MSRA)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|7840 (ALMS1)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|27087 (B3GAT1)|54602 (NDFIP2)|64919 (BCL11B)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|133418 (EMB)|222537 (HS3ST5)|348980 (HCN1)"
"17","blue","GO:0050896","response to stimulus","2.28475246892195e-08","1135 (CHRNA2)|2272 (FHIT)|2903 (GRIN2A)|4482 (MSRA)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|27087 (B3GAT1)|54602 (NDFIP2)|64919 (BCL11B)|79913 (ACTR5)|80031 (SEMA6D)|133418 (EMB)|348980 (HCN1)"
"18","blue","GO:0051716","cellular response to stimulus","8.28679264154284e-08","1135 (CHRNA2)|2272 (FHIT)|2903 (GRIN2A)|4482 (MSRA)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|27087 (B3GAT1)|54602 (NDFIP2)|79913 (ACTR5)|80031 (SEMA6D)|348980 (HCN1)"
"19","blue","GO:0032501","multicellular organismal process","1.08653825890322e-07","1135 (CHRNA2)|2903 (GRIN2A)|4325 (MMP16)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|7840 (ALMS1)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|27086 (FOXP1)|64919 (BCL11B)|80031 (SEMA6D)|133418 (EMB)|222537 (HS3ST5)|348980 (HCN1)|389084 (SNORC)"
"20","blue","GO:0005515","protein binding","1.11115363930851e-07","2272 (FHIT)|2903 (GRIN2A)|5142 (PDE4B)|5796 (PTPRK)|6660 (SOX5)|7840 (ALMS1)|8452 (CUL3)|9839 (ZEB2)|22905 (EPN2)|23228 (PLCL2)|23314 (SATB2)|23362 (PSD3)|27086 (FOXP1)|54602 (NDFIP2)|64919 (BCL11B)|79568 (MAIP1)|79913 (ACTR5)|80031 (SEMA6D)|90952 (ESAM)|133418 (EMB)|222537 (HS3ST5)|348980 (HCN1)"
