"","Module","GO Term","GO Process","FDR","Genes"
"26","brown","GO:0050794","regulation of cellular process","2.08349106977127e-05","665 (BNIP3L)|794 (CALB2)|2016 (EMX1)|2823 (GPM6A)|7090 (TLE3)|9162 (DGKI)|9568 (GABBR2)|9628 (RGS6)|9682 (KDM4A)|23019 (CNOT1)|54715 (RBFOX1)|55552 (ZNF823)|57186 (RALGAPA2)|57502 (NLGN4X)"
"27","brown","GO:0009987","cellular process","2.77122302649084e-05","665 (BNIP3L)|794 (CALB2)|2016 (EMX1)|2823 (GPM6A)|4978 (OPCML)|7090 (TLE3)|9162 (DGKI)|9568 (GABBR2)|9628 (RGS6)|9682 (KDM4A)|23019 (CNOT1)|23033 (DOP1A)|54715 (RBFOX1)|55552 (ZNF823)|57186 (RALGAPA2)|57502 (NLGN4X)"
"28","brown","GO:0050789","regulation of biological process","4.59131698255559e-05","665 (BNIP3L)|794 (CALB2)|2016 (EMX1)|2823 (GPM6A)|7090 (TLE3)|9162 (DGKI)|9568 (GABBR2)|9628 (RGS6)|9682 (KDM4A)|23019 (CNOT1)|54715 (RBFOX1)|55552 (ZNF823)|57186 (RALGAPA2)|57502 (NLGN4X)"
"29","brown","GO:0008150","biological_process","5.84628253080122e-05","665 (BNIP3L)|794 (CALB2)|2016 (EMX1)|2823 (GPM6A)|4978 (OPCML)|7090 (TLE3)|9162 (DGKI)|9568 (GABBR2)|9628 (RGS6)|9682 (KDM4A)|23019 (CNOT1)|23033 (DOP1A)|54715 (RBFOX1)|55552 (ZNF823)|57186 (RALGAPA2)|57502 (NLGN4X)"
"30","brown","GO:0097090","presynaptic membrane organization","7.99148086240048e-05","794 (CALB2)|2823 (GPM6A)|9162 (DGKI)|9568 (GABBR2)|57502 (NLGN4X)"
"31","brown","GO:0120041","positive regulation of macrophage proliferation","8.30392259057679e-05","665 (BNIP3L)|794 (CALB2)|2016 (EMX1)|2823 (GPM6A)|4978 (OPCML)|7090 (TLE3)|9162 (DGKI)|9568 (GABBR2)|9628 (RGS6)|9682 (KDM4A)|23019 (CNOT1)|23033 (DOP1A)|54715 (RBFOX1)|55552 (ZNF823)|57186 (RALGAPA2)|57502 (NLGN4X)"
"32","brown","GO:0070013","intracellular organelle lumen","8.38125044021349e-05","665 (BNIP3L)|794 (CALB2)|2016 (EMX1)|2823 (GPM6A)|7090 (TLE3)|9162 (DGKI)|9568 (GABBR2)|9628 (RGS6)|9682 (KDM4A)|23019 (CNOT1)|54715 (RBFOX1)|55552 (ZNF823)|57186 (RALGAPA2)|57502 (NLGN4X)"
"33","brown","GO:0005575","cellular_component","0.000117169817863937","665 (BNIP3L)|794 (CALB2)|2016 (EMX1)|2823 (GPM6A)|4978 (OPCML)|7090 (TLE3)|9162 (DGKI)|9568 (GABBR2)|9628 (RGS6)|9682 (KDM4A)|23019 (CNOT1)|23033 (DOP1A)|54715 (RBFOX1)|55552 (ZNF823)|57186 (RALGAPA2)|57502 (NLGN4X)"
"34","brown","GO:0060076","excitatory synapse","0.000219729622897148","794 (CALB2)|9162 (DGKI)|57502 (NLGN4X)"
"35","brown","GO:0043226","organelle","0.000256687453237963","665 (BNIP3L)|794 (CALB2)|2016 (EMX1)|2823 (GPM6A)|7090 (TLE3)|9162 (DGKI)|9628 (RGS6)|9682 (KDM4A)|23019 (CNOT1)|23033 (DOP1A)|54715 (RBFOX1)|55552 (ZNF823)|57186 (RALGAPA2)|57502 (NLGN4X)"
