"","Module","GO Term","GO Process","FDR","Genes"
"21","turquoise","GO:0008150","biological_process","1.06622156615027e-19","(More than 50 overlapping genes)"
"22","turquoise","GO:0120041","positive regulation of macrophage proliferation","1.98702100498348e-19","(More than 50 overlapping genes)"
"23","turquoise","GO:0005575","cellular_component","5.80034006568291e-19","(More than 50 overlapping genes)"
"24","turquoise","GO:0009987","cellular process","1.90465726728165e-18","226 (ALDOA)|488 (ATP2A2)|665 (BNIP3L)|767 (CA8)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1135 (CHRNA2)|1136 (CHRNA3)|1806 (DPYD)|2072 (ERCC4)|2107 (ETF1)|4482 (MSRA)|4665 (NAB2)|4978 (OPCML)|5142 (PDE4B)|5579 (PRKCB)|5796 (PTPRK)|6314 (ATXN7)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9293 (GPR52)|22905 (EPN2)|22997 (IGSF9B)|22999 (RIMS1)|23019 (CNOT1)|23033 (DOP1A)|23457 (ABCB9)|27012 (KCNV1)|54715 (RBFOX1)|54832 (VPS13C)|55552 (ZNF823)|55626 (AMBRA1)|57186 (RALGAPA2)|57521 (RPTOR)|64919 (BCL11B)|79019 (CENPM)|79568 (MAIP1)|80031 (SEMA6D)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|91869 (RFT1)|131118 (DNAJC19)|133418 (EMB)|144402 (CPNE8)|348980 (HCN1)|399979 (SNX19)"
"25","turquoise","GO:0016043","cellular component organization","4.26020665889481e-15","226 (ALDOA)|488 (ATP2A2)|665 (BNIP3L)|783 (CACNB2)|1135 (CHRNA2)|1136 (CHRNA3)|2072 (ERCC4)|2107 (ETF1)|5579 (PRKCB)|5796 (PTPRK)|6314 (ATXN7)|6925 (TCF4)|8379 (MAD1L1)|22905 (EPN2)|22997 (IGSF9B)|22999 (RIMS1)|23019 (CNOT1)|27012 (KCNV1)|54832 (VPS13C)|55626 (AMBRA1)|57521 (RPTOR)|64919 (BCL11B)|79019 (CENPM)|79568 (MAIP1)|80031 (SEMA6D)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|91869 (RFT1)|131118 (DNAJC19)|133418 (EMB)|348980 (HCN1)|399979 (SNX19)"
"26","turquoise","GO:0016020","membrane","4.26020665889481e-15","226 (ALDOA)|488 (ATP2A2)|665 (BNIP3L)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1135 (CHRNA2)|1136 (CHRNA3)|4482 (MSRA)|4978 (OPCML)|5142 (PDE4B)|5579 (PRKCB)|5796 (PTPRK)|9162 (DGKI)|9293 (GPR52)|22905 (EPN2)|22997 (IGSF9B)|22999 (RIMS1)|23019 (CNOT1)|23033 (DOP1A)|23457 (ABCB9)|27012 (KCNV1)|54832 (VPS13C)|55626 (AMBRA1)|57186 (RALGAPA2)|57521 (RPTOR)|79568 (MAIP1)|80031 (SEMA6D)|83943 (IMMP2L)|91752 (ZNF804A)|91869 (RFT1)|131118 (DNAJC19)|133418 (EMB)|144402 (CPNE8)|254102 (EHBP1L1)|348980 (HCN1)|389084 (SNORC)|399979 (SNX19)"
"27","turquoise","GO:0071870","cellular response to catecholamine stimulus","7.52257859515437e-15","226 (ALDOA)|488 (ATP2A2)|665 (BNIP3L)|783 (CACNB2)|1135 (CHRNA2)|1136 (CHRNA3)|2072 (ERCC4)|2107 (ETF1)|5579 (PRKCB)|5796 (PTPRK)|6314 (ATXN7)|6925 (TCF4)|8379 (MAD1L1)|22905 (EPN2)|22997 (IGSF9B)|22999 (RIMS1)|23019 (CNOT1)|27012 (KCNV1)|54832 (VPS13C)|55626 (AMBRA1)|57521 (RPTOR)|64919 (BCL11B)|79019 (CENPM)|79568 (MAIP1)|80031 (SEMA6D)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|91869 (RFT1)|131118 (DNAJC19)|133418 (EMB)|348980 (HCN1)|399979 (SNX19)"
"28","turquoise","GO:0003674","molecular_function","9.90677686379081e-15","226 (ALDOA)|488 (ATP2A2)|665 (BNIP3L)|767 (CA8)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1135 (CHRNA2)|1136 (CHRNA3)|1806 (DPYD)|2072 (ERCC4)|2107 (ETF1)|4482 (MSRA)|4665 (NAB2)|5142 (PDE4B)|5579 (PRKCB)|5796 (PTPRK)|6314 (ATXN7)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9293 (GPR52)|22905 (EPN2)|22997 (IGSF9B)|22999 (RIMS1)|23019 (CNOT1)|23457 (ABCB9)|27012 (KCNV1)|54715 (RBFOX1)|55552 (ZNF823)|55626 (AMBRA1)|57186 (RALGAPA2)|57521 (RPTOR)|64919 (BCL11B)|79568 (MAIP1)|80031 (SEMA6D)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|91869 (RFT1)|131118 (DNAJC19)|133418 (EMB)|144402 (CPNE8)|254102 (EHBP1L1)|348980 (HCN1)|399979 (SNX19)"
"29","turquoise","GO:0070013","intracellular organelle lumen","7.66057407843681e-14","226 (ALDOA)|488 (ATP2A2)|665 (BNIP3L)|767 (CA8)|775 (CACNA1C)|783 (CACNB2)|794 (CALB2)|1135 (CHRNA2)|1136 (CHRNA3)|1806 (DPYD)|2072 (ERCC4)|2107 (ETF1)|4665 (NAB2)|5142 (PDE4B)|5579 (PRKCB)|5796 (PTPRK)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|9293 (GPR52)|22905 (EPN2)|22997 (IGSF9B)|22999 (RIMS1)|23019 (CNOT1)|27012 (KCNV1)|54715 (RBFOX1)|54832 (VPS13C)|55552 (ZNF823)|55626 (AMBRA1)|57186 (RALGAPA2)|57521 (RPTOR)|64919 (BCL11B)|79568 (MAIP1)|80031 (SEMA6D)|81611 (ANP32E)|91752 (ZNF804A)|91869 (RFT1)|131118 (DNAJC19)|348980 (HCN1)|399979 (SNX19)"
"30","turquoise","GO:0005622","intracellular","2.13173283336516e-11","226 (ALDOA)|488 (ATP2A2)|665 (BNIP3L)|767 (CA8)|775 (CACNA1C)|794 (CALB2)|1806 (DPYD)|2072 (ERCC4)|2107 (ETF1)|4482 (MSRA)|4665 (NAB2)|5142 (PDE4B)|5579 (PRKCB)|5796 (PTPRK)|6314 (ATXN7)|6925 (TCF4)|8379 (MAD1L1)|8821 (INPP4B)|9162 (DGKI)|22905 (EPN2)|22999 (RIMS1)|23019 (CNOT1)|23033 (DOP1A)|23457 (ABCB9)|54715 (RBFOX1)|54832 (VPS13C)|55552 (ZNF823)|55626 (AMBRA1)|57186 (RALGAPA2)|57521 (RPTOR)|64919 (BCL11B)|79019 (CENPM)|79568 (MAIP1)|80031 (SEMA6D)|81611 (ANP32E)|83943 (IMMP2L)|91752 (ZNF804A)|131118 (DNAJC19)|254102 (EHBP1L1)|389084 (SNORC)|399979 (SNX19)"
