"","Module","GO Term","GO Process","FDR","Genes"
"1","blue","GO:0008150","biological_process","0.0375905225074711","1131 (CHRM3)|1687 (GSDME)|6660 (SOX5)|9628 (RGS6)|51390 (AIG1)|54969 (HPF1)|57188 (ADAMTSL3)|64478 (CSMD1)|91647 (ATPAF2)"
"2","blue","GO:0120041","positive regulation of macrophage proliferation","0.0443062195724062","1131 (CHRM3)|1687 (GSDME)|6660 (SOX5)|9628 (RGS6)|51390 (AIG1)|54969 (HPF1)|57188 (ADAMTSL3)|64478 (CSMD1)|91647 (ATPAF2)"
"3","blue","GO:0005575","cellular_component","0.0542833931818094","1131 (CHRM3)|1687 (GSDME)|6660 (SOX5)|9628 (RGS6)|51390 (AIG1)|54969 (HPF1)|57188 (ADAMTSL3)|64478 (CSMD1)|91647 (ATPAF2)"
"4","blue","GO:0072588","box H/ACA RNP complex","0.0628478510282271","54969 (HPF1)"
"5","blue","GO:0005488","binding","0.0729607453546535","1131 (CHRM3)|1687 (GSDME)|6660 (SOX5)|9628 (RGS6)|51390 (AIG1)|54969 (HPF1)|57188 (ADAMTSL3)|91647 (ATPAF2)"
"6","blue","GO:0016787","hydrolase activity","0.0807438108230134","1131 (CHRM3)|9628 (RGS6)|51390 (AIG1)|57188 (ADAMTSL3)"
"7","blue","GO:0018312","peptidyl-serine ADP-ribosylation","0.0827149007286711","54969 (HPF1)"
"8","blue","GO:1904796","regulation of core promoter binding","0.0827149007286711","1131 (CHRM3)"
"9","blue","GO:2000830","positive regulation of parathyroid hormone secretion","0.103383134389056","6660 (SOX5)"
"10","blue","GO:0005515","protein binding","0.108449390495883","1131 (CHRM3)|6660 (SOX5)|9628 (RGS6)|51390 (AIG1)|54969 (HPF1)|57188 (ADAMTSL3)|91647 (ATPAF2)"
