Module,GO term,GO process,FDR
turquoise,GO:0110165,cellular anatomical entity,1.3309969196492195e-105
turquoise,GO:0005575,cellular_component,1.2826459365237397e-104
turquoise,GO:0003674,molecular_function,9.165820193988394e-103
turquoise,GO:0008150,biological_process,1.4600484136185532e-91
turquoise,GO:0005488,binding,6.344382006548391e-87
turquoise,GO:0009987,cellular process,1.8969691648713197e-86
turquoise,GO:0043226,organelle,6.090561661292916e-83
turquoise,GO:0005622,intracellular,9.175017070479877e-80
turquoise,GO:0005515,protein binding,5.4643050081360035e-73
turquoise,GO:0043229,intracellular organelle,1.1830761876502512e-71
turquoise,GO:0043227,membrane-bounded organelle,4.159249252959539e-71
turquoise,GO:0005737,cytoplasm,6.248794273213972e-66
turquoise,GO:0043231,intracellular membrane-bounded organelle,1.6745562529901085e-60
turquoise,GO:0065007,biological regulation,1.0753223113571004e-57
turquoise,GO:0050789,regulation of biological process,2.856231349572941e-52
turquoise,GO:0050794,regulation of cellular process,3.5809622485295126e-49
turquoise,GO:0008152,metabolic process,2.8365547077536905e-44
turquoise,GO:0071704,organic substance metabolic process,1.440780272745002e-43
turquoise,GO:0044238,primary metabolic process,1.5918112536578624e-43
turquoise,GO:0016043,cellular component organization,7.658783363862401e-43
turquoise,GO:0071840,cellular component organization or biogenesis,1.8603540156463134e-42
turquoise,GO:0044237,cellular metabolic process,2.3213916848661683e-42
turquoise,GO:0006807,nitrogen compound metabolic process,3.025224919198002e-41
turquoise,GO:0016020,membrane,3.6228189135076314e-40
turquoise,GO:0043170,macromolecule metabolic process,2.959997456652731e-38
turquoise,GO:0050896,response to stimulus,5.882824337864002e-35
turquoise,GO:0044260,cellular macromolecule metabolic process,4.94264806555803e-34
turquoise,GO:0005634,nucleus,4.127597706735429e-33
turquoise,GO:1901564,organonitrogen compound metabolic process,8.566013821035104e-32
turquoise,GO:0003824,catalytic activity,1.1089042252661613e-30
turquoise,GO:0051179,localization,8.470445973765521e-30
turquoise,GO:0031974,membrane-enclosed lumen,1.4961614372125402e-29
turquoise,GO:0043233,organelle lumen,1.4961614372125402e-29
turquoise,GO:0070013,intracellular organelle lumen,1.4961614372125402e-29
turquoise,GO:0019538,protein metabolic process,6.149952746586994e-29
turquoise,GO:0005829,cytosol,3.275194777365961e-28
turquoise,GO:0034641,cellular nitrogen compound metabolic process,1.736930730338485e-27
turquoise,GO:0051716,cellular response to stimulus,6.62782818023554e-27
turquoise,GO:0019222,regulation of metabolic process,7.742288074517617e-27
turquoise,GO:0044267,cellular protein metabolic process,2.213421945777193e-26
turquoise,GO:0032502,developmental process,3.978872596143958e-26
turquoise,GO:0032501,multicellular organismal process,1.299688646200068e-25
turquoise,GO:0006996,organelle organization,2.6566227303309253e-25
turquoise,GO:0005654,nucleoplasm,8.400529059686475e-25
turquoise,GO:0031323,regulation of cellular metabolic process,1.1593160670353123e-24
turquoise,GO:0048522,positive regulation of cellular process,2.3036952867959657e-24
turquoise,GO:0048518,positive regulation of biological process,4.0966851398639625e-24
turquoise,GO:0023052,signaling,5.518352650605503e-24
turquoise,GO:0007154,cell communication,7.179004837631376e-24
turquoise,GO:0060255,regulation of macromolecule metabolic process,7.463142714633882e-24
turquoise,GO:0031981,nuclear lumen,7.463142714633882e-24
turquoise,GO:0009058,biosynthetic process,2.1046880957001768e-23
turquoise,GO:0048856,anatomical structure development,2.6647947627810023e-23
turquoise,GO:1901576,organic substance biosynthetic process,3.218575333751794e-23
turquoise,GO:0048519,negative regulation of biological process,3.2210687841894136e-23
turquoise,GO:1901363,heterocyclic compound binding,4.2703857738426824e-23
turquoise,GO:1901360,organic cyclic compound metabolic process,5.03806131829751e-23
turquoise,GO:0080090,regulation of primary metabolic process,5.678337980379416e-23
turquoise,GO:0097159,organic cyclic compound binding,1.0841506783450599e-22
turquoise,GO:0051234,establishment of localization,1.566224246632437e-22
turquoise,GO:0006810,transport,1.6999069840727978e-22
turquoise,GO:0046483,heterocycle metabolic process,2.3765747640509727e-22
turquoise,GO:0010467,gene expression,2.9080177015603144e-22
turquoise,GO:0043167,ion binding,3.1382679386182334e-22
turquoise,GO:0006725,cellular aromatic compound metabolic process,3.560468158831014e-22
turquoise,GO:0065008,regulation of biological quality,4.437154877599029e-22
turquoise,GO:0007165,signal transduction,7.0217069651368825e-22
turquoise,GO:0006139,nucleobase-containing compound metabolic process,7.261161127541587e-22
turquoise,GO:0044249,cellular biosynthetic process,1.019037916949904e-21
