,fromNode,toNode,weight,direction,fromAltName,toAltName
1,ABCB1,ACO2,0.518799876248719,undirected,ABCB1,ACO2
2,ABCB1,AIG1,0.538738073372468,undirected,ABCB1,AIG1
3,ABCB1,ALDOA,0.53294294018981,undirected,ABCB1,ALDOA
4,ABCB1,ALPK3,0.575401774674029,undirected,ABCB1,ALPK3
5,ABCB1,ANXA9,0.555741300265968,undirected,ABCB1,ANXA9
6,ABCB1,ARL5B,-0.612895247900951,undirected,ABCB1,ARL5B
7,ABCB1,ARTN,0.618036216173982,undirected,ABCB1,ARTN
8,ABCB1,BNIP3L,-0.669073454742902,undirected,ABCB1,BNIP3L
9,ABCB1,C1orf54,0.602278024216874,undirected,ABCB1,C1orf54
10,ABCB1,C1orf56,0.531909631633314,undirected,ABCB1,C1orf56
11,ABCB1,C2orf82,0.741202004150533,undirected,ABCB1,C2orf82
12,ABCB1,CALHM3,-0.721892737332498,undirected,ABCB1,CALHM3
13,ABCB1,CDC42SE1,0.587535497550495,undirected,ABCB1,CDC42SE1
14,ABCB1,CKAP5,-0.501136351798776,undirected,ABCB1,CKAP5
15,ABCB1,CLP1,-0.5974654116454,undirected,ABCB1,CLP1
16,ABCB1,CLU,0.670131848944075,undirected,ABCB1,CLU
17,ABCB1,CPEB1,0.521951030252512,undirected,ABCB1,CPEB1
18,ABCB1,CTSS,0.642495511311845,undirected,ABCB1,CTSS
19,ABCB1,CUL3,-0.558557109245139,undirected,ABCB1,CUL3
20,ABCB1,CYP17A1,0.821912834452275,undirected,ABCB1,CYP17A1
21,ABCB1,DDX28,-0.68884819633621,undirected,ABCB1,DDX28
22,ABCB1,DGKZ,0.662231896186442,undirected,ABCB1,DGKZ
23,ABCB1,DPEP2,0.810872377208665,undirected,ABCB1,DPEP2
24,ABCB1,DPYD,-0.533203596305326,undirected,ABCB1,DPYD
25,ABCB1,DUSP11,-0.635190077642676,undirected,ABCB1,DUSP11
26,ABCB1,ECM1,0.661485350605366,undirected,ABCB1,ECM1
27,ABCB1,EFTUD1,-0.508837383087723,undirected,ABCB1,EFTUD1
28,ABCB1,EIF5,-0.577974183379166,undirected,ABCB1,EIF5
29,ABCB1,ELOVL1,0.724116796108477,undirected,ABCB1,ELOVL1
30,ABCB1,ELOVL7,0.881518504458657,undirected,ABCB1,ELOVL7
31,ABCB1,EMB,0.521448794066355,undirected,ABCB1,EMB
32,ABCB1,EPHX2,0.507107285003282,undirected,ABCB1,EPHX2
33,ABCB1,EPN2,0.655540248071491,undirected,ABCB1,EPN2
34,ABCB1,ESAM,0.605874085837564,undirected,ABCB1,ESAM
35,ABCB1,FAM109B,-0.559803350105415,undirected,ABCB1,FAM109B
36,ABCB1,FAM63A,0.507494371217936,undirected,ABCB1,FAM63A
37,ABCB1,FHIT,0.645360918097732,undirected,ABCB1,FHIT
38,ABCB1,GNL3,-0.675537395081861,undirected,ABCB1,GNL3
39,ABCB1,GPN3,-0.715007224438056,undirected,ABCB1,GPN3
40,ABCB1,HOMER2,0.507796775414994,undirected,ABCB1,HOMER2
41,ABCB1,HVCN1,0.571660094728398,undirected,ABCB1,HVCN1
42,ABCB1,INPP4B,0.557094993227806,undirected,ABCB1,INPP4B
43,ABCB1,ITIH3,0.646834838105088,undirected,ABCB1,ITIH3
44,ABCB1,ITIH4,0.651664952916988,undirected,ABCB1,ITIH4
45,ABCB1,KDM4A,-0.537947453872759,undirected,ABCB1,KDM4A
46,ABCB1,ME1,0.524189204507898,undirected,ABCB1,ME1
47,ABCB1,MED19,-0.581411436398689,undirected,ABCB1,MED19
48,ABCB1,MEI1,0.560923226305034,undirected,ABCB1,MEI1
49,ABCB1,MUSTN1,0.513331454653725,undirected,ABCB1,MUSTN1
50,ABCB1,MYO1A,0.559262311329788,undirected,ABCB1,MYO1A
51,ABCB1,NDRG4,0.502883035688643,undirected,ABCB1,NDRG4
52,ABCB1,NDUFA4L2,0.636067491982322,undirected,ABCB1,NDUFA4L2
