,fromNode,toNode,weight,direction,fromAltName,toAltName
1,ABCB9,ADAMTSL3,0.542092762322417,undirected,ABCB9,ADAMTSL3
2,ABCB9,ARFGAP2,0.73592271044765,undirected,ABCB9,ARFGAP2
3,ABCB9,BAP1,0.879538664811533,undirected,ABCB9,BAP1
4,ABCB9,CROT,-0.585740695102786,undirected,ABCB9,CROT
5,ABCB9,DARS2,-0.522583776071825,undirected,ABCB9,DARS2
6,ABCB9,HIP1R,0.62677574878,undirected,ABCB9,HIP1R
7,ABCB9,LETM2,-0.558944282282281,undirected,ABCB9,LETM2
8,ABCB9,MYO15A,0.698365923955954,undirected,ABCB9,MYO15A
9,ABCB9,NCK1,-0.629038739304028,undirected,ABCB9,NCK1
10,ABCB9,NMUR2,0.525540557655531,undirected,ABCB9,NMUR2
11,ABCB9,SCAF1,0.657929234025727,undirected,ABCB9,SCAF1
12,ABCB9,SEMA6C,0.707712320906167,undirected,ABCB9,SEMA6C
13,ABCB9,SERPINC1,0.554648908942361,undirected,ABCB9,SERPINC1
14,ABCB9,SUGP1,0.696706276652716,undirected,ABCB9,SUGP1
15,ABCB9,TLR9,0.787911282155252,undirected,ABCB9,TLR9
16,ABCB9,TRMT61A,0.50107708334675,undirected,ABCB9,TRMT61A
17,ABCB9,TSNARE1,0.709809753158753,undirected,ABCB9,TSNARE1
18,ABCB9,TWF2,0.544137038795022,undirected,ABCB9,TWF2
19,ABCB9,YPEL3,0.80763014637085,undirected,ABCB9,YPEL3
20,ABCD2,ADAMTSL3,0.705680311131942,undirected,ABCD2,ADAMTSL3
21,ABCD2,AKT3,0.85568528440899,undirected,ABCD2,AKT3
22,ABCD2,ALAS1,0.554387703483089,undirected,ABCD2,ALAS1
23,ABCD2,ANKRD44,0.838570075461412,undirected,ABCD2,ANKRD44
24,ABCD2,ARL6IP4,-0.758725393842801,undirected,ABCD2,ARL6IP4
25,ABCD2,ATPAF2,-0.817307971253286,undirected,ABCD2,ATPAF2
26,ABCD2,B9D1,-0.722394413219069,undirected,ABCD2,B9D1
27,ABCD2,C22orf46,-0.691125807598924,undirected,ABCD2,C22orf46
28,ABCD2,CHRNB4,-0.642721748604723,undirected,ABCD2,CHRNB4
29,ABCD2,CROT,-0.549208198610345,undirected,ABCD2,CROT
30,ABCD2,CSMD1,0.698262612982932,undirected,ABCD2,CSMD1
31,ABCD2,DAAM1,0.792961251472825,undirected,ABCD2,DAAM1
32,ABCD2,DARS2,-0.693650713086091,undirected,ABCD2,DARS2
33,ABCD2,GLYCTK,-0.924832194753523,undirected,ABCD2,GLYCTK
34,ABCD2,GPM6A,0.856555556133512,undirected,ABCD2,GPM6A
35,ABCD2,HIP1R,0.695014972053898,undirected,ABCD2,HIP1R
36,ABCD2,HSPE1,-0.726744722078283,undirected,ABCD2,HSPE1
37,ABCD2,IPO13,-0.723830655931604,undirected,ABCD2,IPO13
38,ABCD2,LETM2,-0.611168583905146,undirected,ABCD2,LETM2
39,ABCD2,LSM1,-0.618839108546452,undirected,ABCD2,LSM1
40,ABCD2,MAP3K11,-0.700484378906737,undirected,ABCD2,MAP3K11
41,ABCD2,MEF2C,0.755615917544736,undirected,ABCD2,MEF2C
42,ABCD2,MFHAS1,0.873485650032843,undirected,ABCD2,MFHAS1
43,ABCD2,MYO15A,0.502561260048605,undirected,ABCD2,MYO15A
44,ABCD2,NDFIP2,0.650189146594882,undirected,ABCD2,NDFIP2
45,ABCD2,OPCML,0.661300895124348,undirected,ABCD2,OPCML
46,ABCD2,PLCL1,0.853761128366053,undirected,ABCD2,PLCL1
47,ABCD2,PTPRF,-0.759324267803051,undirected,ABCD2,PTPRF
48,ABCD2,RAD9B,-0.799065433886601,undirected,ABCD2,RAD9B
49,ABCD2,RBFOX1,0.726359517107446,undirected,ABCD2,RBFOX1
50,ABCD2,RGS6,0.568427936979548,undirected,ABCD2,RGS6
51,ABCD2,RWDD2A,0.899295303614286,undirected,ABCD2,RWDD2A
52,ABCD2,SATB2,0.775600608310022,undirected,ABCD2,SATB2
53,ABCD2,SEMA6C,0.503505312873557,undirected,ABCD2,SEMA6C
54,ABCD2,SNX8,-0.656591278815576,undirected,ABCD2,SNX8
55,ABCD2,SRPK2,0.832510049687482,undirected,ABCD2,SRPK2
56,ABCD2,TRANK1,-0.843227282188143,undirected,ABCD2,TRANK1
57,ABCD2,TRMT61A,-0.610492854357327,undirected,ABCD2,TRMT61A
58,ABCD2,ZEB2,0.927379521090241,undirected,ABCD2,ZEB2
59,ADAMTSL3,AKT3,0.820846359806666,undirected,ADAMTSL3,AKT3
60,ADAMTSL3,ALAS1,0.607346698157701,undirected,ADAMTSL3,ALAS1
61,ADAMTSL3,ANKRD44,0.877195334670236,undirected,ADAMTSL3,ANKRD44
62,ADAMTSL3,ARFGAP2,0.555576875590708,undirected,ADAMTSL3,ARFGAP2
63,ADAMTSL3,ATPAF2,-0.756626687069342,undirected,ADAMTSL3,ATPAF2
64,ADAMTSL3,B9D1,-0.831862557103015,undirected,ADAMTSL3,B9D1
65,ADAMTSL3,BAP1,0.641984918883906,undirected,ADAMTSL3,BAP1
66,ADAMTSL3,C22orf46,-0.586368779211281,undirected,ADAMTSL3,C22orf46
67,ADAMTSL3,CHRNB4,-0.731101816446969,undirected,ADAMTSL3,CHRNB4
68,ADAMTSL3,CROT,-0.792469050312396,undirected,ADAMTSL3,CROT
69,ADAMTSL3,CSMD1,0.691812378653282,undirected,ADAMTSL3,CSMD1
70,ADAMTSL3,DAAM1,0.672352370010262,undirected,ADAMTSL3,DAAM1
71,ADAMTSL3,DARS2,-0.776798746608545,undirected,ADAMTSL3,DARS2
72,ADAMTSL3,DGKI,0.509174715995843,undirected,ADAMTSL3,DGKI
73,ADAMTSL3,GLYCTK,-0.844921575947972,undirected,ADAMTSL3,GLYCTK
74,ADAMTSL3,GPM6A,0.840202435719422,undirected,ADAMTSL3,GPM6A
75,ADAMTSL3,HIP1R,0.852265942143839,undirected,ADAMTSL3,HIP1R
76,ADAMTSL3,HSPE1,-0.74741530463375,undirected,ADAMTSL3,HSPE1
77,ADAMTSL3,IPO13,-0.505608917258535,undirected,ADAMTSL3,IPO13
78,ADAMTSL3,LETM2,-0.785306453504093,undirected,ADAMTSL3,LETM2
79,ADAMTSL3,LSM1,-0.550808550971076,undirected,ADAMTSL3,LSM1
80,ADAMTSL3,MADD,0.692087458883356,undirected,ADAMTSL3,MADD
81,ADAMTSL3,MEF2C,0.794130238342089,undirected,ADAMTSL3,MEF2C
82,ADAMTSL3,MFHAS1,0.792595758543207,undirected,ADAMTSL3,MFHAS1
83,ADAMTSL3,MYO15A,0.718686557233474,undirected,ADAMTSL3,MYO15A
84,ADAMTSL3,NCK1,-0.617683331906718,undirected,ADAMTSL3,NCK1
85,ADAMTSL3,NDFIP2,0.538511744239486,undirected,ADAMTSL3,NDFIP2
86,ADAMTSL3,OPCML,0.707577458929885,undirected,ADAMTSL3,OPCML
87,ADAMTSL3,PLCL1,0.676999224178812,undirected,ADAMTSL3,PLCL1
88,ADAMTSL3,PTPRF,-0.779242905067274,undirected,ADAMTSL3,PTPRF
89,ADAMTSL3,RAD9B,-0.883414689865828,undirected,ADAMTSL3,RAD9B
90,ADAMTSL3,RBFOX1,0.602674554348583,undirected,ADAMTSL3,RBFOX1
91,ADAMTSL3,RGS6,0.654292591593522,undirected,ADAMTSL3,RGS6
92,ADAMTSL3,RWDD2A,0.786396470965943,undirected,ADAMTSL3,RWDD2A
93,ADAMTSL3,SATB2,0.797109132468734,undirected,ADAMTSL3,SATB2
94,ADAMTSL3,SEMA6C,0.73249944041074,undirected,ADAMTSL3,SEMA6C
95,ADAMTSL3,SERPINC1,0.586059013336309,undirected,ADAMTSL3,SERPINC1
96,ADAMTSL3,SRPK2,0.696562291354076,undirected,ADAMTSL3,SRPK2
97,ADAMTSL3,TLR9,0.565280493129888,undirected,ADAMTSL3,TLR9
98,ADAMTSL3,TRANK1,-0.86325055002861,undirected,ADAMTSL3,TRANK1
99,ADAMTSL3,ZEB2,0.849309763834912,undirected,ADAMTSL3,ZEB2
100,AKT3,ALAS1,0.709802929541514,undirected,AKT3,ALAS1
101,AKT3,ANKRD44,0.974780468987769,undirected,AKT3,ANKRD44
