"","geneIDs","moduleColor"
"3","ABCB9","lightcyan"
"4","ABCD2","lightcyan"
"9","ADAMTSL3","lightcyan"
"13","AKT3","lightcyan"
"14","ALAS1","lightcyan"
"21","ANKRD44","lightcyan"
"29","ARFGAP2","lightcyan"
"34","ARL6IP4","lightcyan"
"44","ATPAF2","lightcyan"
"47","B9D1","lightcyan"
"51","BAP1","lightcyan"
"68","C22orf46","lightcyan"
"99","CHRNB4","lightcyan"
"113","CROT","lightcyan"
"115","CSMD1","lightcyan"
"122","DAAM1","lightcyan"
"123","DARS2","lightcyan"
"129","DGKI","lightcyan"
"183","GLYCTK","lightcyan"
"187","GPM6A","lightcyan"
"198","HIP1R","lightcyan"
"204","HSPE1","lightcyan"
"216","IPO13","lightcyan"
"234","LETM2","lightcyan"
"241","LSM1","lightcyan"
"243","MADD","lightcyan"
"244","MAP3K11","lightcyan"
"255","MEF2C","lightcyan"
"258","MFHAS1","lightcyan"
"273","MYO15A","lightcyan"
"278","NCK1","lightcyan"
"279","NDFIP2","lightcyan"
"293","NMUR2","lightcyan"
"305","OPCML","lightcyan"
"323","PLCL1","lightcyan"
"348","PTPRF","lightcyan"
"352","RAD9B","lightcyan"
"355","RBFOX1","lightcyan"
"365","RGS6","lightcyan"
"375","RWDD2A","lightcyan"
"376","SATB2","lightcyan"
"378","SCAF1","lightcyan"
"382","SEMA6C","lightcyan"
"385","SERPINC1","lightcyan"
"410","SNX8","lightcyan"
"415","SRPK2","lightcyan"
"425","SUGP1","lightcyan"
"443","TLR9","lightcyan"
"459","TRANK1","lightcyan"
"461","TRMT61A","lightcyan"
"463","TSNARE1","lightcyan"
"465","TWF2","lightcyan"
"481","YPEL3","lightcyan"
"486","ZEB2","lightcyan"
