"","geneIDs","moduleColor"
"6","ACP2","brown"
"7","ACTR1A","brown"
"9","ADAMTSL3","brown"
"10","ADAMTSL4","brown"
"12","AKAP6","brown"
"13","AKT3","brown"
"17","ALPK3","brown"
"19","ANAPC7","brown"
"20","ANKRD13A","brown"
"23","ANKRD63","brown"
"25","ANXA9","brown"
"31","ARHGAP40","brown"
"37","ARTN","brown"
"42","ATP2A2","brown"
"52","BCL11B","brown"
"53","BCL2L12","brown"
"67","C1orf56","brown"
"68","C22orf46","brown"
"72","C3orf49","brown"
"73","CA14","brown"
"78","CACNB2","brown"
"80","CALB2","brown"
"82","CALHM3","brown"
"88","CDC25C","brown"
"89","CDC42SE1","brown"
"95","CERS2","brown"
"96","CHRNA2","brown"
"97","CHRNA3","brown"
"98","CHRNA5","brown"
"99","CHRNB4","brown"
"106","CLU","brown"
"109","CNTN4","brown"
"111","CPEB1","brown"
"113","CROT","brown"
"115","CSMD1","brown"
"116","CTNND1","brown"
"120","CUL3","brown"
"123","DARS2","brown"
"129","DGKI","brown"
"140","DRD2","brown"
"141","DRG2","brown"
"148","ELOVL1","brown"
"150","EMB","brown"
"154","EPHX2","brown"
"166","FAM63A","brown"
"167","FANCL","brown"
"172","FSHB","brown"
"173","FTSJ2","brown"
"174","FXR1","brown"
"175","GABBR2","brown"
"182","GLT8D1","brown"
"185","GNL3","brown"
"190","GPR52","brown"
"196","HARBI1","brown"
"197","HCN1","brown"
"198","HIP1R","brown"
"200","HOMER2","brown"
"201","HORMAD1","brown"
"202","HSPA9","brown"
"203","HSPD1","brown"
"205","HVCN1","brown"
"211","IMMP2L","brown"
"212","INA","brown"
"215","INPP4B","brown"
"216","IPO13","brown"
"218","ITIH1","brown"
"221","JKAMP","brown"
"223","KCNJ13","brown"
"224","KCTD13","brown"
"227","KIAA1324L","brown"
"229","KIF21A","brown"
"235","LHFPL3","brown"
"236","LPAR2","brown"
"240","LRRN3","brown"
"242","MAD1L1","brown"
"244","MAP3K11","brown"
"251","MCL1","brown"
"256","MEI1","brown"
"261","MLLT11","brown"
"266","MPP6","brown"
"268","MRPS14","brown"
"272","MUSTN1","brown"
"273","MYO15A","brown"
"274","MYO1A","brown"
"276","NAGA","brown"
"280","NDRG4","brown"
"288","NHP2L1","brown"
"290","NLGN4X","brown"
"291","NMB","brown"
"293","NMUR2","brown"
"295","NR1H3","brown"
"297","NRN1L","brown"
"301","NUDT1","brown"
"312","PCCB","brown"
"319","PHF7","brown"
"321","PLA2G15","brown"
"322","PLCB2","brown"
"331","PPP1R3B","brown"
"332","PPP2R2A","brown"
"333","PPP2R3A","brown"
"335","PPTC7","brown"
"338","PRMT1","brown"
"345","PSMD6","brown"
"360","REEP2","brown"
"364","RFTN2","brown"
"373","RTN1","brown"
"380","SEC11A","brown"
"384","SEPT3","brown"
"386","SERPING1","brown"
"392","SFXN2","brown"
"397","SLC32A1","brown"
"398","SLC38A7","brown"
"400","SLC45A1","brown"
"401","SLC5A10","brown"
"402","SLC6A11","brown"
"403","SLC6A9","brown"
"407","SMPD3","brown"
"408","SNAP91","brown"
"410","SNX8","brown"
"413","SREBF1","brown"
"415","SRPK2","brown"
"418","ST3GAL3","brown"
"422","STAMBP","brown"
"430","TARS2","brown"
"431","TBC1D2","brown"
"433","TBX6","brown"
"437","TCTN1","brown"
"438","TDRD9","brown"
"442","TKT","brown"
"445","TMEM110","brown"
"448","TMEM180","brown"
"451","TMX2","brown"
"452","TMX2-CTNND1","brown"
"460","TRIM8","brown"
"461","TRMT61A","brown"
"462","TRPV4","brown"
"464","TSNAXIP1","brown"
"471","VRK2","brown"
"483","ZBTB37","brown"
"486","ZEB2","brown"
"497","ZNF804A","brown"
