"","geneIDs","moduleColor"
"1","ABCB1","blue"
"2","ABCB4","blue"
"3","ABCB9","blue"
"4","ABCD2","blue"
"5","ACO2","blue"
"6","ACP2","blue"
"7","ACTR1A","blue"
"8","ACTR5","blue"
"9","ADAMTSL3","blue"
"10","ADAMTSL4","blue"
"11","AIG1","blue"
"12","AKAP6","blue"
"13","AKT3","blue"
"14","ALAS1","blue"
"15","ALDOA","blue"
"16","ALMS1","blue"
"17","ALPK3","blue"
"18","AMBRA1","blue"
"19","ANAPC7","blue"
"20","ANKRD13A","blue"
"22","ANKRD45","blue"
"23","ANKRD63","blue"
"24","ANP32E","blue"
"25","ANXA9","blue"
"26","AP3B2","blue"
"27","APH1A","blue"
"28","APOPT1","blue"
"29","ARFGAP2","blue"
"30","ARHGAP1","blue"
"31","ARHGAP40","blue"
"32","ARL3","blue"
"33","ARL5B","blue"
"34","ARL6IP4","blue"
"35","ARNT","blue"
"36","ARPC3","blue"
"37","ARTN","blue"
"38","AS3MT","blue"
"39","ATF4","blue"
"41","ATP13A1","blue"
"42","ATP2A2","blue"
"43","ATP6V0B","blue"
"44","ATPAF2","blue"
"45","ATXN7","blue"
"46","B4GALT2","blue"
"47","B9D1","blue"
"48","BAG4","blue"
"49","BAG5","blue"
"50","BANK1","blue"
"52","BCL11B","blue"
"53","BCL2L12","blue"
"54","BNIP3L","blue"
"55","BNIPL","blue"
"56","BOLL","blue"
"57","BRD8","blue"
"59","C10orf32","blue"
"60","C11orf31","blue"
"61","C11orf49","blue"
"62","C12orf65","blue"
"63","C12orf76","blue"
"64","C14orf2","blue"
"65","C16orf92","blue"
"67","C1orf56","blue"
"68","C22orf46","blue"
"69","C2orf47","blue"
"70","C2orf78","blue"
"71","C2orf82","blue"
"73","CA14","blue"
"74","CA8","blue"
"75","CACNA1C","blue"
"78","CACNB2","blue"
"79","CACYBP","blue"
"80","CALB2","blue"
"82","CALHM3","blue"
"83","CCDC134","blue"
"84","CCDC24","blue"
"86","CDC20","blue"
"87","CDC23","blue"
"88","CDC25C","blue"
"89","CDC42SE1","blue"
"90","CDK2AP1","blue"
"92","CENPM","blue"
"93","CENPT","blue"
"94","CEP170","blue"
"95","CERS2","blue"
"96","CHRNA2","blue"
"97","CHRNA3","blue"
"98","CHRNA5","blue"
"99","CHRNB4","blue"
"101","CKAP5","blue"
"102","CKB","blue"
"103","CLCN3","blue"
"104","CLDN23","blue"
"105","CLP1","blue"
"107","CNNM2","blue"
"108","CNOT1","blue"
"109","CNTN4","blue"
"110","COQ10B","blue"
"111","CPEB1","blue"
"112","CREB3L1","blue"
"113","CROT","blue"
"114","CSDC2","blue"
"116","CTNND1","blue"
"117","CTRL","blue"
"118","CTSK","blue"
"119","CTSS","blue"
"120","CUL3","blue"
"121","CYP17A1","blue"
"122","DAAM1","blue"
"124","DDB2","blue"
"126","DDX28","blue"
"127","DEPDC1B","blue"
"128","DFNA5","blue"
"129","DGKI","blue"
"131","DMTF1","blue"
"133","DNAJB7","blue"
"134","DNAJC19","blue"
"135","DOC2A","blue"
"136","DOPEY1","blue"
"137","DPEP2","blue"
"138","DPEP3","blue"
"139","DPYD","blue"
"140","DRD2","blue"
"141","DRG2","blue"
