Module,GO term,GO process,FDR
greenyellow,GO:0008150,biological_process,0.000000000000000000000000000000000136330735165811
greenyellow,GO:0005575,cellular_component,0.000000000000000000000000000000000147921626682734
greenyellow,GO:0110165,cellular anatomical entity,0.000000000000000000000000000000000397866992539968
greenyellow,GO:0003674,molecular_function,0.000000000000000000000000000000000548338040910123
greenyellow,GO:0009987,cellular process,0.000000000000000000000000000000242275271843453
greenyellow,GO:0005488,binding,0.0000000000000000000000000000121984296600876
greenyellow,GO:0005515,protein binding,0.00000000000000000000000000872212421281955
greenyellow,GO:0065007,biological regulation,0.0000000000000000000000000881947004801248
greenyellow,GO:0071840,cellular component organization or biogenesis,0.00000000000000000000132037554441
greenyellow,GO:0050896,response to stimulus,0.00000000000000000000244676420475004
greenyellow,GO:0016043,cellular component organization,0.00000000000000000000308628499404735
greenyellow,GO:0050789,regulation of biological process,0.00000000000000000000338013163102763
greenyellow,GO:0043226,organelle,0.0000000000000000000035402757094665
greenyellow,GO:0016020,membrane,0.00000000000000000000443898050507637
greenyellow,GO:0050794,regulation of cellular process,0.0000000000000000000305133514045511
greenyellow,GO:0005622,intracellular,0.0000000000000000000646507696743327
greenyellow,GO:0032501,multicellular organismal process,0.00000000000000000110508506472968
greenyellow,GO:0005737,cytoplasm,0.0000000000000000030696542646566
greenyellow,GO:0051179,localization,0.0000000000000000141588516979715
greenyellow,GO:0043229,intracellular organelle,0.0000000000000000832746349912758
greenyellow,GO:0051716,cellular response to stimulus,0.00000000000000173035497277541
greenyellow,GO:0065008,regulation of biological quality,0.00000000000000317452057571748
greenyellow,GO:0023052,signaling,0.0000000000000039351315870093
greenyellow,GO:0007154,cell communication,0.00000000000000433919870855794
greenyellow,GO:0043227,membrane-bounded organelle,0.0000000000000159444831789
greenyellow,GO:0032502,developmental process,0.0000000000000741986009398331
greenyellow,GO:0048518,positive regulation of biological process,0.000000000000110946647695635
greenyellow,GO:0006810,transport,0.000000000000116043242120053
greenyellow,GO:0042391,regulation of membrane potential,0.000000000000207966196208441
greenyellow,GO:0051234,establishment of localization,0.000000000000229601795720575
greenyellow,GO:0071944,cell periphery,0.000000000000352795649157031
greenyellow,GO:0007165,signal transduction,0.000000000000431551753703684
greenyellow,GO:0120025,plasma membrane bounded cell projection,0.000000000000431551753703684
greenyellow,GO:0043231,intracellular membrane-bounded organelle,0.000000000000861828087826215
greenyellow,GO:0042995,cell projection,0.000000000000907173850317631
greenyellow,GO:0005886,plasma membrane,0.0000000000010484591590027
greenyellow,GO:0048856,anatomical structure development,0.0000000000010484591590027
greenyellow,GO:0008152,metabolic process,0.00000000000246685198170919
greenyellow,GO:0031224,intrinsic component of membrane,0.00000000000303369020095949
greenyellow,GO:0030054,cell junction,0.00000000000307953605859964
greenyellow,GO:0097060,synaptic membrane,0.00000000000393887715843295
greenyellow,GO:0048731,system development,0.00000000000483391773936724
greenyellow,GO:0043005,neuron projection,0.00000000000497618068810537
greenyellow,GO:0007399,nervous system development,0.00000000000536325086180002
greenyellow,GO:0048522,positive regulation of cellular process,0.00000000000594069986801882
greenyellow,GO:0016021,integral component of membrane,0.00000000000692119488394507
greenyellow,GO:0045202,synapse,0.00000000000790845197035701
greenyellow,GO:0071704,organic substance metabolic process,0.00000000000914146186044927
greenyellow,GO:0030182,neuron differentiation,0.00000000000914146186044927
greenyellow,GO:0030425,dendrite,0.0000000000112972832441619
greenyellow,GO:0097447,dendritic tree,0.0000000000116305731502103
greenyellow,GO:0007275,multicellular organism development,0.0000000000150088622832876
greenyellow,GO:0022008,neurogenesis,0.000000000018507046973327
greenyellow,GO:0006811,ion transport,0.0000000000526030658176925
greenyellow,GO:0048699,generation of neurons,0.0000000000627146486917897
greenyellow,GO:0034220,ion transmembrane transport,0.000000000114674884900793
greenyellow,GO:0010646,regulation of cell communication,0.000000000148390150584268
greenyellow,GO:0098590,plasma membrane region,0.000000000180205524331836
greenyellow,GO:0023051,regulation of signaling,0.000000000189527978279328
greenyellow,GO:0048869,cellular developmental process,0.000000000211221527740175
greenyellow,GO:0048583,regulation of response to stimulus,0.000000000211221527740175
greenyellow,GO:0032879,regulation of localization,0.000000000220504008767681
greenyellow,GO:0051049,regulation of transport,0.000000000256154081743357
greenyellow,GO:0098793,presynapse,0.000000000334984274057575
greenyellow,GO:0048468,cell development,0.000000000485398991778522
greenyellow,GO:0030154,cell differentiation,0.000000000801381085955436
greenyellow,GO:0006812,cation transport,0.000000000967457063651353
greenyellow,GO:0036477,somatodendritic compartment,0.000000000984976330979119
greenyellow,GO:0051641,cellular localization,0.00000000120750828395278
greenyellow,GO:0050804,modulation of chemical synaptic transmission,0.00000000163197790357484
greenyellow,GO:0099177,regulation of trans-synaptic signaling,0.00000000165246446833306
greenyellow,GO:0044237,cellular metabolic process,0.00000000169436248718243
greenyellow,GO:0033036,macromolecule localization,0.00000000185282204482157
greenyellow,GO:0019222,regulation of metabolic process,0.00000000189331434588043
greenyellow,GO:0043170,macromolecule metabolic process,0.00000000306320367076087
greenyellow,GO:0044238,primary metabolic process,0.00000000328598354291307
greenyellow,GO:0051239,regulation of multicellular organismal process,0.00000000328598354291307
greenyellow,GO:0098794,postsynapse,0.00000000414127874077007
greenyellow,GO:0051649,establishment of localization in cell,0.00000000441659159889425
greenyellow,GO:0030030,cell projection organization,0.00000000563326778863463
greenyellow,GO:0008104,protein localization,0.00000000699615494976979
greenyellow,GO:0055085,transmembrane transport,0.0000000102781848934677
greenyellow,GO:0009893,positive regulation of metabolic process,0.0000000120606478409095
greenyellow,GO:0048519,negative regulation of biological process,0.0000000123581579284587
greenyellow,GO:0007267,cell-cell signaling,0.0000000137234861327673
greenyellow,GO:0034702,ion channel complex,0.0000000156250129209007
greenyellow,GO:0098655,cation transmembrane transport,0.0000000189219487588664
greenyellow,GO:0043269,regulation of ion transport,0.0000000197358848851539
greenyellow,GO:0060078,regulation of postsynaptic membrane potential,0.0000000208317850512624
greenyellow,GO:0007268,chemical synaptic transmission,0.0000000208317850512624
