Module,GO term,GO process,FDR
green,GO:0005575,cellular_component,9.979189627289426e-148
green,GO:0110165,cellular anatomical entity,2.626522195562015e-145
green,GO:0003674,molecular_function,5.970883244424284e-138
green,GO:0008150,biological_process,9.179463223578754e-128
green,GO:0009987,cellular process,1.642796851598836e-119
green,GO:0005488,binding,8.151111266261773e-117
green,GO:0005622,intracellular,1.5063333680198704e-110
green,GO:0043226,organelle,1.2790561013628345e-107
green,GO:0005515,protein binding,2.6058061489927146e-99
green,GO:0043229,intracellular organelle,5.526399613680518e-94
green,GO:0043227,membrane-bounded organelle,1.2264368408750355e-91
green,GO:0005737,cytoplasm,9.69905612577141e-85
green,GO:0065007,biological regulation,4.3403061148141796e-79
green,GO:0043231,intracellular membrane-bounded organelle,5.697999987365754e-77
green,GO:0050789,regulation of biological process,1.037286972429907e-70
green,GO:0008152,metabolic process,1.0634871953090391e-67
green,GO:0050794,regulation of cellular process,6.242231187272626e-67
green,GO:0044237,cellular metabolic process,5.591670928293051e-64
green,GO:0071704,organic substance metabolic process,6.89145183418109e-64
green,GO:0044238,primary metabolic process,2.8594020903754887e-59
green,GO:0016043,cellular component organization,9.885885321223516e-56
green,GO:0071840,cellular component organization or biogenesis,9.958527820506908e-56
green,GO:0006807,nitrogen compound metabolic process,4.3903474663220163e-54
green,GO:0043170,macromolecule metabolic process,6.7467163526209907e-52
green,GO:0016020,membrane,3.2332452886388565e-51
green,GO:0005634,nucleus,8.141112573748508e-49
green,GO:0044260,cellular macromolecule metabolic process,1.7688413806640375e-47
green,GO:0050896,response to stimulus,8.863485093356763e-46
green,GO:0032501,multicellular organismal process,2.0006037900116713e-43
green,GO:0032502,developmental process,2.3044674798748908e-42
green,GO:1901564,organonitrogen compound metabolic process,4.5185092722156825e-41
green,GO:0048519,negative regulation of biological process,1.025005451663389e-40
green,GO:0051179,localization,1.2861922242234106e-40
green,GO:0005829,cytosol,1.6922740146202314e-40
green,GO:0031974,membrane-enclosed lumen,2.4106764540142737e-40
green,GO:0043233,organelle lumen,2.4106764540142737e-40
green,GO:0070013,intracellular organelle lumen,2.4106764540142737e-40
green,GO:0051716,cellular response to stimulus,1.6486958499456534e-39
green,GO:0048856,anatomical structure development,1.1510114559876677e-37
green,GO:0006996,organelle organization,1.2812520460737482e-37
green,GO:0043167,ion binding,2.1427277672819195e-37
green,GO:0019538,protein metabolic process,2.53258234027194e-37
green,GO:0019222,regulation of metabolic process,7.212680822265739e-36
green,GO:0051234,establishment of localization,1.7893351562045894e-35
green,GO:0065008,regulation of biological quality,2.6921289257514836e-35
green,GO:0007275,multicellular organism development,4.643910389080113e-35
green,GO:0048523,negative regulation of cellular process,5.667026004229178e-35
green,GO:0007154,cell communication,9.170593497293113e-35
green,GO:0044267,cellular protein metabolic process,1.1929630488877523e-34
green,GO:0006810,transport,2.5397565497603747e-34
green,GO:0031981,nuclear lumen,1.3371328697499525e-33
green,GO:0034641,cellular nitrogen compound metabolic process,2.7701549053754215e-33
green,GO:0048518,positive regulation of biological process,3.0827327989139616e-33
green,GO:0003824,catalytic activity,4.416880480321363e-33
green,GO:0031323,regulation of cellular metabolic process,4.513888755452574e-33
green,GO:0023052,signaling,5.8498264300433646e-33
green,GO:0060255,regulation of macromolecule metabolic process,1.6546772203664005e-32
green,GO:1901360,organic cyclic compound metabolic process,4.2330570601244935e-32
green,GO:0007165,signal transduction,9.098430651044503e-32
green,GO:0048731,system development,9.098430651044503e-32
green,GO:0097159,organic cyclic compound binding,9.098430651044503e-32
green,GO:0048522,positive regulation of cellular process,2.756036639027879e-31
green,GO:0046483,heterocycle metabolic process,2.756036639027879e-31
green,GO:0080090,regulation of primary metabolic process,4.221433070079299e-31
green,GO:1901363,heterocyclic compound binding,4.854096827202371e-31
green,GO:0006725,cellular aromatic compound metabolic process,4.933626541960291e-31
green,GO:0005654,nucleoplasm,8.026553383190222e-30
green,GO:0006139,nucleobase-containing compound metabolic process,8.380925248233218e-30
green,GO:0051171,regulation of nitrogen compound metabolic process,1.1761450255121405e-29
green,GO:0048869,cellular developmental process,1.7824157046526217e-29
green,GO:0009058,biosynthetic process,1.1772223899261502e-28
green,GO:0030154,cell differentiation,5.202131141528038e-28
green,GO:1901576,organic substance biosynthetic process,5.202131141528038e-28
green,GO:0043228,non-membrane-bounded organelle,2.6539543184964518e-27
green,GO:0044249,cellular biosynthetic process,2.7013302026598534e-27
green,GO:0090304,nucleic acid metabolic process,8.007407346065951e-27
green,GO:0043232,intracellular non-membrane-bounded organelle,1.0325870775754141e-26
green,GO:0010467,gene expression,4.272658715983986e-26
green,GO:0044271,cellular nitrogen compound biosynthetic process,2.6864932433113822e-25
green,GO:0012505,endomembrane system,3.6083477247856767e-25
green,GO:0051239,regulation of multicellular organismal process,8.853890469028953e-25
green,GO:0010646,regulation of cell communication,1.7402575726530786e-24
green,GO:0065009,regulation of molecular function,2.707600494531932e-24
green,GO:0023051,regulation of signaling,3.632729246630782e-24
green,GO:0035556,intracellular signal transduction,5.425150510212484e-24
green,GO:0120025,plasma membrane bounded cell projection,5.567004645385968e-24
green,GO:0009059,macromolecule biosynthetic process,1.1879830525097973e-23
green,GO:0071944,cell periphery,1.4322884724272196e-23
green,GO:0048583,regulation of response to stimulus,1.958758279434878e-23
green,GO:0032991,protein-containing complex,3.021879361271803e-23
green,GO:0042995,cell projection,3.453626684806465e-23
green,GO:0016070,RNA metabolic process,4.112739472169435e-23
green,GO:0043412,macromolecule modification,4.3425146235887823e-23
green,GO:0019899,enzyme binding,8.547887138063112e-23
green,GO:0034645,cellular macromolecule biosynthetic process,8.694067325241094e-23
green,GO:0071702,organic substance transport,2.0829710080530858e-22
green,GO:0051641,cellular localization,2.0829710080530858e-22
green,GO:0006464,cellular protein modification process,5.183979347768197e-22
green,GO:0036211,protein modification process,5.183979347768197e-22
green,GO:0005886,plasma membrane,6.22294836636996e-22
green,GO:0010468,regulation of gene expression,1.3969988049722724e-21
green,GO:0033036,macromolecule localization,1.9223476158406003e-21
green,GO:0009893,positive regulation of metabolic process,9.054279934008177e-21
green,GO:0010556,regulation of macromolecule biosynthetic process,9.761243637439283e-21
green,GO:0043169,cation binding,1.3190287259863103e-20
green,GO:0071705,nitrogen compound transport,1.4282071657012523e-20
green,GO:0048513,animal organ development,2.5725179757683206e-20
green,GO:0006950,response to stress,2.5725179757683206e-20
green,GO:1901362,organic cyclic compound biosynthetic process,3.966985414925046e-20
green,GO:0009966,regulation of signal transduction,4.022932118541283e-20
green,GO:0010604,positive regulation of macromolecule metabolic process,4.022932118541283e-20
green,GO:0003676,nucleic acid binding,4.543232387401047e-20
green,GO:0046872,metal ion binding,5.491985637495816e-20
green,GO:0018130,heterocycle biosynthetic process,6.054506615712958e-20
green,GO:0009889,regulation of biosynthetic process,6.217419964494306e-20
green,GO:0019219,regulation of nucleobase-containing compound metabolic process,6.217419964494306e-20
green,GO:0019438,aromatic compound biosynthetic process,6.877512916814735e-20
green,GO:0009056,catabolic process,7.140022249842829e-20
green,GO:0031326,regulation of cellular biosynthetic process,7.47523474964834e-20
green,GO:0033554,cellular response to stress,7.47523474964834e-20
green,GO:0007399,nervous system development,7.854162594005292e-20
green,GO:0051252,regulation of RNA metabolic process,8.055923195121397e-20
green,GO:0031325,positive regulation of cellular metabolic process,1.1267694728422992e-19
green,GO:0050790,regulation of catalytic activity,1.2528800103151727e-19
green,GO:0051649,establishment of localization in cell,1.5105665817813844e-19
green,GO:0032268,regulation of cellular protein metabolic process,2.1009091304150725e-19
green,GO:0051246,regulation of protein metabolic process,2.2100302344421526e-19
green,GO:2000112,regulation of cellular macromolecule biosynthetic process,2.949007241232408e-19
green,GO:0034654,nucleobase-containing compound biosynthetic process,3.551206931920338e-19
green,GO:0006793,phosphorus metabolic process,4.345412606463778e-19
green,GO:0042221,response to chemical,4.345412606463778e-19
green,GO:0008104,protein localization,5.056053725495279e-19
green,GO:0043005,neuron projection,6.218055769275933e-19
green,GO:0044248,cellular catabolic process,7.0060580596488425e-19
green,GO:0031224,intrinsic component of membrane,7.805475632772646e-19
green,GO:0006796,phosphate-containing compound metabolic process,1.1733276361838256e-18
green,GO:0032879,regulation of localization,1.1733276361838256e-18
green,GO:0042592,homeostatic process,2.0772684381710013e-18
green,GO:0009892,negative regulation of metabolic process,5.72902394109239e-18
green,GO:0022607,cellular component assembly,6.191357745597292e-18
green,GO:0050793,regulation of developmental process,6.70014311162175e-18
green,GO:0042886,amide transport,9.854150306878147e-18
green,GO:0007166,cell surface receptor signaling pathway,1.3191246504710434e-17
green,GO:0016787,hydrolase activity,1.3702403485616902e-17
green,GO:0051173,positive regulation of nitrogen compound metabolic process,1.3702403485616902e-17
green,GO:0044085,cellular component biogenesis,1.488250375468407e-17
green,GO:0016021,integral component of membrane,1.5952184299135173e-17
green,GO:0051128,regulation of cellular component organization,2.2637025687031648e-17
green,GO:0031090,organelle membrane,2.4601853763624023e-17
green,GO:0015833,peptide transport,2.529094292112477e-17
green,GO:0022008,neurogenesis,5.811957688951742e-17
green,GO:0015031,protein transport,6.043515626320462e-17
green,GO:0043168,anion binding,1.1092584360763596e-16
green,GO:0051049,regulation of transport,1.1902182032030452e-16
green,GO:0042802,identical protein binding,1.1997079807294968e-16
green,GO:0031982,vesicle,1.2899620603755652e-16
green,GO:0036477,somatodendritic compartment,2.261425006926103e-16
green,GO:0045184,establishment of protein localization,3.8169743166773946e-16
green,GO:0030054,cell junction,4.424597627158058e-16
green,GO:0048468,cell development,4.778206353188696e-16
green,GO:0120036,plasma membrane bounded cell projection organization,4.896902562035372e-16
green,GO:0010033,response to organic substance,7.33640411087446e-16
green,GO:0010605,negative regulation of macromolecule metabolic process,7.700713830695225e-16
green,GO:0044281,small molecule metabolic process,7.822607144115809e-16
green,GO:0048699,generation of neurons,9.230902680473706e-16
