Module,GO term,GO process,FDR
turquoise,GO:0008150,biological_process,0.0000000000000000000000000396267556160988
turquoise,GO:0003674,molecular_function,0.00000000000000000000000078658053891384
turquoise,GO:0009987,cellular process,0.0000000000000000000000109337929367173
turquoise,GO:0005575,cellular_component,0.0000000000000000000000127226269452507
turquoise,GO:0110165,cellular anatomical entity,0.0000000000000000000000464389950021608
turquoise,GO:0005488,binding,0.000000000000000000628548636845542
turquoise,GO:0005515,protein binding,0.0000000000000000463543837701314
turquoise,GO:0065007,biological regulation,0.000000000000000144989119058102
turquoise,GO:0071840,cellular component organization or biogenesis,0.000000000000000303196458073183
turquoise,GO:0016043,cellular component organization,0.00000000000000103749788890002
turquoise,GO:0050789,regulation of biological process,0.00000000000000774057592295447
turquoise,GO:0050896,response to stimulus,0.00000000000000943918481423087
turquoise,GO:0043226,organelle,0.00000000000000943918481423087
turquoise,GO:0005622,intracellular,0.0000000000000106584062519848
turquoise,GO:0050794,regulation of cellular process,0.000000000000143245395588634
turquoise,GO:0005737,cytoplasm,0.000000000000199870780979311
turquoise,GO:0043229,intracellular organelle,0.00000000000108663714637575
turquoise,GO:0016020,membrane,0.000000000006797618663445
turquoise,GO:0051179,localization,0.0000000000186941235199381
turquoise,GO:0032501,multicellular organismal process,0.0000000000220140644567132
turquoise,GO:0043231,intracellular membrane-bounded organelle,0.0000000000474875886266844
turquoise,GO:0051716,cellular response to stimulus,0.0000000000832781208774981
turquoise,GO:0043227,membrane-bounded organelle,0.000000000205320327548904
turquoise,GO:0097060,synaptic membrane,0.000000000282920242530014
turquoise,GO:0042391,regulation of membrane potential,0.00000000028678268689489
turquoise,GO:0008152,metabolic process,0.000000000291986529314823
turquoise,GO:0023052,signaling,0.000000000517019100906786
turquoise,GO:0007154,cell communication,0.000000000552718919528538
turquoise,GO:0071704,organic substance metabolic process,0.00000000205861541119972
turquoise,GO:0007165,signal transduction,0.00000000256861433979253
turquoise,GO:0043005,neuron projection,0.00000000348094549394733
turquoise,GO:0030054,cell junction,0.00000000532635452760411
turquoise,GO:0045202,synapse,0.00000000894304514156335
turquoise,GO:0032502,developmental process,0.00000000935183278397364
turquoise,GO:0098590,plasma membrane region,0.0000000153567102568035
turquoise,GO:0065008,regulation of biological quality,0.000000016540786154156
turquoise,GO:0048518,positive regulation of biological process,0.0000000184193502744991
turquoise,GO:0051641,cellular localization,0.000000025516904341811
turquoise,GO:0120025,plasma membrane bounded cell projection,0.0000000320255511502024
turquoise,GO:0044237,cellular metabolic process,0.0000000330777305425383
turquoise,GO:0048856,anatomical structure development,0.0000000403865425064097
turquoise,GO:0042995,cell projection,0.0000000526366673801642
turquoise,GO:0006810,transport,0.0000000673130956460011
turquoise,GO:0099565,"chemical synaptic transmission, postsynaptic",0.0000000755009515710591
turquoise,GO:0044238,primary metabolic process,0.0000000775579896908033
turquoise,GO:0051234,establishment of localization,0.000000105238327992556
turquoise,GO:0048731,system development,0.000000109319668728278
turquoise,GO:0030425,dendrite,0.00000011934216097158
turquoise,GO:0097447,dendritic tree,0.000000121147589308507
turquoise,GO:0007399,nervous system development,0.000000184325413385739
turquoise,GO:0045211,postsynaptic membrane,0.000000190563613004363
turquoise,GO:0051649,establishment of localization in cell,0.00000021035684007051
turquoise,GO:0048522,positive regulation of cellular process,0.000000299980268172757
turquoise,GO:0008104,protein localization,0.000000303890864988429
turquoise,GO:0098793,presynapse,0.000000330725081992656
turquoise,GO:0060078,regulation of postsynaptic membrane potential,0.000000371199312214312
turquoise,GO:0071944,cell periphery,0.00000043909406409454
turquoise,GO:0022008,neurogenesis,0.000000459276724290076
turquoise,GO:0003008,system process,0.000000459276724290076
turquoise,GO:0016021,integral component of membrane,0.000000459276724290076
turquoise,GO:0030182,neuron differentiation,0.000000484583224812743
turquoise,GO:0007268,chemical synaptic transmission,0.00000055302960606711
turquoise,GO:0098916,anterograde trans-synaptic signaling,0.00000055302960606711
turquoise,GO:0099537,trans-synaptic signaling,0.000000612748478760629
turquoise,GO:0099536,synaptic signaling,0.000000778972141922668
turquoise,GO:0007275,multicellular organism development,0.000000778972141922668
turquoise,GO:0031224,intrinsic component of membrane,0.000000778972141922668
turquoise,GO:0005886,plasma membrane,0.00000129949291363637
