"","geneIDs","moduleColor"
"2","ABCB4","blue"
"4","ABCD2","blue"
"27","APH1A","blue"
"32","ARL3","blue"
"33","ARL5B","blue"
"34","ARL6IP4","blue"
"46","B4GALT2","blue"
"48","BAG4","blue"
"51","BAP1","blue"
"54","BNIP3L","blue"
"59","C10orf32","blue"
"66","C1orf54","blue"
"69","C2orf47","blue"
"71","C2orf82","blue"
"77","CACNA1I","blue"
"79","CACYBP","blue"
"81","CALHM2","blue"
"84","CCDC24","blue"
"87","CDC23","blue"
"91","CENPL","blue"
"100","CHST4","blue"
"103","CLCN3","blue"
"110","COQ10B","blue"
"112","CREB3L1","blue"
"118","CTSK","blue"
"125","DDHD2","blue"
"127","DEPDC1B","blue"
"130","DGKZ","blue"
"134","DNAJC19","blue"
"135","DOC2A","blue"
"138","DPEP3","blue"
"142","DUSP11","blue"
"143","ECM1","blue"
"147","EIF5","blue"
"149","ELOVL7","blue"
"151","EMX1","blue"
"152","ENSA","blue"
"155","EPN2","blue"
"156","ERCC8","blue"
"157","ERI1","blue"
"159","ESRP2","blue"
"160","ETF1","blue"
"186","GOLPH3L","blue"
"187","GPM6A","blue"
"188","GPN3","blue"
"193","GRIN2A","blue"
"194","GRM3","blue"
"204","HSPE1","blue"
"206","HYDIN","blue"
"208","IFT81","blue"
"214","INO80E","blue"
"219","ITIH3","blue"
"241","LSM1","blue"
"250","MCHR1","blue"
"255","MEF2C","blue"
"262","MMP16","blue"
"263","MOB4","blue"
"265","MPL","blue"
"269","MRPS30","blue"
"279","NDFIP2","blue"
"282","NDUFA6","blue"
"286","NFATC3","blue"
"296","NRGN","blue"
"306","OSBPL3","blue"
"309","PACSIN3","blue"
"310","PAK6","blue"
"313","PCGF6","blue"
"320","PITPNM2","blue"
"329","PPP1CC","blue"
"336","PRKCD","blue"
"347","PTN","blue"
"355","RBFOX1","blue"
"357","RBX1","blue"
"363","RFT1","blue"
"365","RGS6","blue"
"366","RILPL2","blue"
"374","RUNDC3B","blue"
"375","RWDD2A","blue"
"376","SATB2","blue"
"379","SDCCAG8","blue"
"383","SEMA6D","blue"
"388","SETD8","blue"
"396","SLC25A17","blue"
"399","SLC39A8","blue"
"411","SPATS2L","blue"
"416","SRR","blue"
"417","ST13","blue"
"419","STAB1","blue"
"423","STAT6","blue"
"427","TAC3","blue"
"432","TBC1D5","blue"
"458","TPRKB","blue"
"466","TYW5","blue"
"468","VPS29","blue"
"469","VPS37B","blue"
"478","XPNPEP3","blue"
"487","ZFYVE21","blue"
"499","ZSCAN2","blue"
