"","geneIDs","moduleColor"
"10","ADAMTSL4","brown"
"12","AKAP6","brown"
"13","AKT3","brown"
"21","ANKRD44","brown"
"26","AP3B2","brown"
"28","APOPT1","brown"
"31","ARHGAP40","brown"
"33","ARL5B","brown"
"46","B4GALT2","brown"
"48","BAG4","brown"
"49","BAG5","brown"
"51","BAP1","brown"
"53","BCL2L12","brown"
"54","BNIP3L","brown"
"60","C11orf31","brown"
"69","C2orf47","brown"
"70","C2orf78","brown"
"72","C3orf49","brown"
"73","CA14","brown"
"76","CACNA1D","brown"
"78","CACNB2","brown"
"79","CACYBP","brown"
"81","CALHM2","brown"
"87","CDC23","brown"
"95","CERS2","brown"
"100","CHST4","brown"
"106","CLU","brown"
"110","COQ10B","brown"
"112","CREB3L1","brown"
"117","CTRL","brown"
"120","CUL3","brown"
"122","DAAM1","brown"
"125","DDHD2","brown"
"127","DEPDC1B","brown"
"130","DGKZ","brown"
"132","DNAH1","brown"
"134","DNAJC19","brown"
"135","DOC2A","brown"
"138","DPEP3","brown"
"143","ECM1","brown"
"147","EIF5","brown"
"148","ELOVL1","brown"
"151","EMX1","brown"
"152","ENSA","brown"
"160","ETF1","brown"
"162","FAM109B","brown"
"164","FAM53C","brown"
"166","FAM63A","brown"
"169","FHIT","brown"
"172","FSHB","brown"
"173","FTSJ2","brown"
"177","GATAD2A","brown"
"185","GNL3","brown"
"187","GPM6A","brown"
"189","GPR135","brown"
"193","GRIN2A","brown"
"197","HCN1","brown"
"201","HORMAD1","brown"
"205","HVCN1","brown"
"206","HYDIN","brown"
"214","INO80E","brown"
"216","IPO13","brown"
"218","ITIH1","brown"
"221","JKAMP","brown"
"223","KCNJ13","brown"
"227","KIAA1324L","brown"
"230","KLC1","brown"
"231","KLHL20","brown"
"235","LHFPL3","brown"
"240","LRRN3","brown"
"241","LSM1","brown"
"243","MADD","brown"
"244","MAP3K11","brown"
"246","MAPK7","brown"
"250","MCHR1","brown"
"251","MCL1","brown"
"254","MED8","brown"
"255","MEF2C","brown"
"257","MFAP4","brown"
"261","MLLT11","brown"
"262","MMP16","brown"
"263","MOB4","brown"
"265","MPL","brown"
"269","MRPS30","brown"
"279","NDFIP2","brown"
"288","NHP2L1","brown"
"297","NRN1L","brown"
"298","NSUN6","brown"
"299","NT5C2","brown"
"305","OPCML","brown"
"306","OSBPL3","brown"
"307","OTOL1","brown"
"319","PHF7","brown"
"320","PITPNM2","brown"
"331","PPP1R3B","brown"
"343","PSMA4","brown"
"344","PSMB10","brown"
"345","PSMD6","brown"
"350","R3HDM2","brown"
"351","RABGAP1L","brown"
"352","RAD9B","brown"
"355","RBFOX1","brown"
"359","RDH16","brown"
"361","RELA","brown"
"365","RGS6","brown"
"366","RILPL2","brown"
"373","RTN1","brown"
"375","RWDD2A","brown"
"376","SATB2","brown"
"377","SBNO1","brown"
"384","SEPT3","brown"
"386","SERPING1","brown"
"388","SETD8","brown"
"392","SFXN2","brown"
"394","SIPA1","brown"
"408","SNAP91","brown"
"411","SPATS2L","brown"
"413","SREBF1","brown"
"415","SRPK2","brown"
"416","SRR","brown"
"422","STAMBP","brown"
"433","TBX6","brown"
"435","TCF4","brown"
"437","TCTN1","brown"
"441","THOC7","brown"
"445","TMEM110","brown"
"450","TMEM219","brown"
"461","TRMT61A","brown"
"462","TRPV4","brown"
"464","TSNAXIP1","brown"
"465","TWF2","brown"
"466","TYW5","brown"
"467","USMG5","brown"
"468","VPS29","brown"
"481","YPEL3","brown"
"489","ZNF23","brown"
"499","ZSCAN2","brown"
