,fromNode,toNode,weight,direction,fromAltName,toAltName,p_value
1,ABCB1,ABCB4,0.783390139073367,undirected,ABCB1,ABCB4,0.0000000007713
2,ABCB1,ANKRD45,0.720413783023663,undirected,ABCB1,ANKRD45,0.0000000007713
3,ABCB1,ARFGAP2,0.73298213323091,undirected,ABCB1,ARFGAP2,0.0000000007713
4,ABCB1,C1orf54,0.709947007664141,undirected,ABCB1,C1orf54,0.0000000007713
5,ABCB1,DRD2,0.726926674092405,undirected,ABCB1,DRD2,0.0000000007713
6,ABCB1,ELOVL7,0.734267488411116,undirected,ABCB1,ELOVL7,0.0000000007713
7,ABCB1,MKL1,0.784235657823324,undirected,ABCB1,MKL1,0.0000000007713
8,ABCB1,PPP1R13B,0.715611668608464,undirected,ABCB1,PPP1R13B,0.0000000007713
9,ABCB1,RAI1,0.759460422408431,undirected,ABCB1,RAI1,0.0000000007713
10,ABCB1,RPTOR,0.835762485220482,undirected,ABCB1,RPTOR,0.0000000007713
11,ABCB1,SCAF1,0.733297020618722,undirected,ABCB1,SCAF1,0.0000000007713
12,ABCB1,SLC39A8,0.715314319726825,undirected,ABCB1,SLC39A8,0.0000000007713
13,ABCB1,SNX8,0.729840952226447,undirected,ABCB1,SNX8,0.0000000007713
14,ABCB1,SREBF2,0.900159224516736,undirected,ABCB1,SREBF2,0.0000000007713
15,ABCB1,TAOK2,0.704869407861378,undirected,ABCB1,TAOK2,0.0000000007713
16,ABCB4,C1orf54,0.790286401907788,undirected,ABCB4,C1orf54,0.0000000007713
17,ABCB4,ESAM,0.706518884445264,undirected,ABCB4,ESAM,0.0000000007713
18,ABCB4,PPP1R13B,0.707014963189411,undirected,ABCB4,PPP1R13B,0.0000000007713
19,ABCB4,SEMA3G,0.730136730801038,undirected,ABCB4,SEMA3G,0.0000000007713
20,ABCB9,ACP2,0.776252389304929,undirected,ABCB9,ACP2,0.000000000000000555
21,ABCB9,ACTR1A,0.823473641205341,undirected,ABCB9,ACTR1A,0.000000000000000555
22,ABCB9,ANKRD13A,0.717689297261675,undirected,ABCB9,ANKRD13A,0.000000000000000555
23,ABCB9,ARFGAP2,0.716808861590173,undirected,ABCB9,ARFGAP2,0.000000000000000555
24,ABCB9,ARL6IP4,0.828309100947233,undirected,ABCB9,ARL6IP4,0.000000000000000555
25,ABCB9,ATP13A1,0.702616085100997,undirected,ABCB9,ATP13A1,0.000000000000000555
26,ABCB9,ATP6V0B,0.8298175515123,undirected,ABCB9,ATP6V0B,0.000000000000000555
27,ABCB9,CKB,0.704944796407694,undirected,ABCB9,CKB,0.000000000000000555
28,ABCB9,CNTN4,0.727267712164496,undirected,ABCB9,CNTN4,0.000000000000000555
29,ABCB9,DFNA5,0.773990994307965,undirected,ABCB9,DFNA5,0.000000000000000555
30,ABCB9,GABBR2,0.818994465189125,undirected,ABCB9,GABBR2,0.000000000000000555
31,ABCB9,INA,0.736453422777323,undirected,ABCB9,INA,0.000000000000000555
32,ABCB9,L3MBTL2,0.745997594741974,undirected,ABCB9,L3MBTL2,0.000000000000000555
33,ABCB9,MGAT3,0.704917363697269,undirected,ABCB9,MGAT3,0.000000000000000555
34,ABCB9,MPP6,0.716927874764419,undirected,ABCB9,MPP6,0.000000000000000555
35,ABCB9,MYO15A,0.871885813721169,undirected,ABCB9,MYO15A,0.000000000000000555
36,ABCB9,NDRG4,0.83007283974891,undirected,ABCB9,NDRG4,0.000000000000000555
37,ABCB9,PPP2R3A,0.70208720457964,undirected,ABCB9,PPP2R3A,0.000000000000000555
38,ABCB9,REEP2,0.844112849986617,undirected,ABCB9,REEP2,0.000000000000000555
39,ABCB9,RPTOR,0.740094284364264,undirected,ABCB9,RPTOR,0.000000000000000555
40,ABCB9,SCAF1,0.7832409654407,undirected,ABCB9,SCAF1,0.000000000000000555
41,ABCB9,SLC45A1,0.890496696404926,undirected,ABCB9,SLC45A1,0.000000000000000555
42,ABCB9,ST3GAL3,0.858319522217522,undirected,ABCB9,ST3GAL3,0.000000000000000555
43,ABCB9,SUGP1,0.86403449564055,undirected,ABCB9,SUGP1,0.000000000000000555
44,ABCB9,TAOK2,0.778760724415366,undirected,ABCB9,TAOK2,0.000000000000000555
45,ABCB9,TARS2,0.805377837631734,undirected,ABCB9,TARS2,0.000000000000000555
46,ABCB9,TKT,0.887464668703178,undirected,ABCB9,TKT,0.000000000000000555
47,ABCB9,TMX2-CTNND1,0.702102431038472,undirected,ABCB9,TMX2-CTNND1,0.000000000000000555
48,ABCB9,TNFRSF13C,0.730870033947061,undirected,ABCB9,TNFRSF13C,0.000000000000000555
49,ABCB9,TOM1L2,0.75409503969747,undirected,ABCB9,TOM1L2,0.000000000000000555
50,ABCB9,VRK2,0.724522892017146,undirected,ABCB9,VRK2,0.000000000000000555
51,ABCB9,ZC3H7B,0.817242192692574,undirected,ABCB9,ZC3H7B,0.000000000000000555
