"","geneIDs","moduleColor"
"1","ABCB1","green"
"2","ABCB4","green"
"3","ABCB9","green"
"4","ABCD2","green"
"5","ACO2","green"
"6","ACP2","green"
"7","ACTR1A","green"
"8","ACTR5","green"
"9","ADAMTSL3","green"
"11","AIG1","green"
"14","ALAS1","green"
"15","ALDOA","green"
"16","ALMS1","green"
"17","ALPK3","green"
"18","AMBRA1","green"
"19","ANAPC7","green"
"20","ANKRD13A","green"
"22","ANKRD45","green"
"23","ANKRD63","green"
"24","ANP32E","green"
"25","ANXA9","green"
"27","APH1A","green"
"29","ARFGAP2","green"
"30","ARHGAP1","green"
"32","ARL3","green"
"34","ARL6IP4","green"
"35","ARNT","green"
"36","ARPC3","green"
"37","ARTN","green"
"38","AS3MT","green"
"39","ATF4","green"
"40","ATG13","green"
"41","ATP13A1","green"
"42","ATP2A2","green"
"43","ATP6V0B","green"
"44","ATPAF2","green"
"45","ATXN7","green"
"47","B9D1","green"
"50","BANK1","green"
"52","BCL11B","green"
"55","BNIPL","green"
"56","BOLL","green"
"57","BRD8","green"
"58","BTBD18","green"
"59","C10orf32","green"
"61","C11orf49","green"
"62","C12orf65","green"
"63","C12orf76","green"
"64","C14orf2","green"
"65","C16orf92","green"
"66","C1orf54","green"
"67","C1orf56","green"
"68","C22orf46","green"
"71","C2orf82","green"
"74","CA8","green"
"75","CACNA1C","green"
"77","CACNA1I","green"
"80","CALB2","green"
"82","CALHM3","green"
"83","CCDC134","green"
"84","CCDC24","green"
"85","CCDC62","green"
"86","CDC20","green"
"88","CDC25C","green"
"89","CDC42SE1","green"
"90","CDK2AP1","green"
"91","CENPL","green"
"92","CENPM","green"
"93","CENPT","green"
"94","CEP170","green"
"96","CHRNA2","green"
"97","CHRNA3","green"
"98","CHRNA5","green"
"99","CHRNB4","green"
"101","CKAP5","green"
"102","CKB","green"
"103","CLCN3","green"
"104","CLDN23","green"
"105","CLP1","green"
"107","CNNM2","green"
"108","CNOT1","green"
