"","geneIDs","moduleColor"
"21","ANKRD44","greenyellow"
"40","ATG13","greenyellow"
"51","BAP1","greenyellow"
"58","BTBD18","greenyellow"
"66","C1orf54","greenyellow"
"72","C3orf49","greenyellow"
"76","CACNA1D","greenyellow"
"77","CACNA1I","greenyellow"
"81","CALHM2","greenyellow"
"85","CCDC62","greenyellow"
"91","CENPL","greenyellow"
"100","CHST4","greenyellow"
"106","CLU","greenyellow"
"115","CSMD1","greenyellow"
"123","DARS2","greenyellow"
"125","DDHD2","greenyellow"
"130","DGKZ","greenyellow"
"132","DNAH1","greenyellow"
"143","ECM1","greenyellow"
"151","EMX1","greenyellow"
"154","EPHX2","greenyellow"
"173","FTSJ2","greenyellow"
"185","GNL3","greenyellow"
"189","GPR135","greenyellow"
"193","GRIN2A","greenyellow"
"197","HCN1","greenyellow"
"240","LRRN3","greenyellow"
"255","MEF2C","greenyellow"
"260","MKL1","greenyellow"
"265","MPL","greenyellow"
"269","MRPS30","greenyellow"
"276","NAGA","greenyellow"
"287","NGEF","greenyellow"
"296","NRGN","greenyellow"
"312","PCCB","greenyellow"
"319","PHF7","greenyellow"
"320","PITPNM2","greenyellow"
"336","PRKCD","greenyellow"
"347","PTN","greenyellow"
"349","PTPRK","greenyellow"
"350","R3HDM2","greenyellow"
"353","RAI1","greenyellow"
"354","RANGAP1","greenyellow"
"355","RBFOX1","greenyellow"
"365","RGS6","greenyellow"
"371","RPTOR","greenyellow"
"376","SATB2","greenyellow"
"377","SBNO1","greenyellow"
"378","SCAF1","greenyellow"
"395","SLC12A4","greenyellow"
"401","SLC5A10","greenyellow"
"411","SPATS2L","greenyellow"
"423","STAT6","greenyellow"
"434","TCF20","greenyellow"
"453","TNFRSF13C","greenyellow"
"463","TSNARE1","greenyellow"
"472","VSIG2","greenyellow"
"484","ZC3H7B","greenyellow"
"489","ZNF23","greenyellow"
