GENE_SYMBOL,LOCUSLINK_ID
CACNA1C,775
FTSJ2,29960
DPYD,1806
ACTR1A,10121
C2orf47,79568
ACTR5,79913
BANK1,55024
C2orf82,389084
ABCB9,23457
ESAM,90952
CENPM,79019
ANAPC7,51434
APOPT1,84334
GRM3,2913
IGSF9B,22997
ACP2,53
ANKRD44,91526
TCF4,6925
ARL5B,221079
ALDOA,226
ACO2,50
ME1,4199
ATF4,468
FANCL,55120
CNTN4,152330
DRD2,1813
ALAS1,211
CHRNA3,1136
DNAJC19,131118
AS3MT,57412
IL20RB,53833
SATB2,23314
ATP13A1,57130
CHRNA2,1135
GPM6A,2823
ARTN,9048
SNX19,399979
INHBC,3626
CA8,767
BCL2L12,83596
IMMP2L,83943
HCN1,348980
DGKI,9162
TRANK1,9881
ATXN7,6314
RGS6,9628
AKT3,10000
NLGN4X,57502
ZNF536,9745
CNOT1,23019
OPCML,4978
RIMS1,22999
CACNA1I,8911
SPATS2L,26010
BAG4,9530
ZEB2,9839
ADAMTSL4,54507
BRD8,10902
ABCB1,5243
ZNF440,NA
ADAMTSL3,57188
ALMS1,7840
GABBR2,9568
GRIA1,2890
BTBD18,643376
CEP170,9859
TBC1D5,9779
RERE,473
BNIP3L,665
CUL3,8452
ZNF804A,91752
ABCD2,225
FHIT,2272
GRIN2A,2903
MMP16,4325
AIG1,51390
CSMD1,64478
AKAP6,9472
DOPEY1,23033
TSNARE1,203062
FOXP1,27086
PSD3,23362
NDFIP2,54602
CACNA1D,776
RBFOX1,54715
CACNB2,783
B9D1,27077
DFNA5,1687
BCL11B,64919
EMB,133418
SEMA6D,80031
ANKRD45,339416
ATPAF2,91647
CLCN3,1182
PTPRK,5796
EMX1,2016
PDE4B,5142
CLDN23,137075
CENPT,80152
MGAT3,4248
INPP4B,8821
CALB2,794
RPTOR,57521
